gene	P6
ENSMUSG00000000001	10833
ENSMUSG00000000003	0
ENSMUSG00000000028	162
ENSMUSG00000000031	1417
ENSMUSG00000000037	56
ENSMUSG00000000049	3
ENSMUSG00000000056	1431
ENSMUSG00000000058	7677
ENSMUSG00000000078	12508
ENSMUSG00000000085	1979
ENSMUSG00000000088	5163
ENSMUSG00000000093	1169
ENSMUSG00000000094	4
ENSMUSG00000000103	0
ENSMUSG00000000120	324
ENSMUSG00000000125	1
ENSMUSG00000000126	459
ENSMUSG00000000127	1177
ENSMUSG00000000131	4041
ENSMUSG00000000134	3112
ENSMUSG00000000142	476
ENSMUSG00000000148	1174
ENSMUSG00000000149	3576
ENSMUSG00000000154	572
ENSMUSG00000000157	2
ENSMUSG00000000159	1454
ENSMUSG00000000167	91
ENSMUSG00000000168	3888
ENSMUSG00000000171	6101
ENSMUSG00000000182	0
ENSMUSG00000000183	7
ENSMUSG00000000184	22437
ENSMUSG00000000194	4166
ENSMUSG00000000197	71
ENSMUSG00000000202	3
ENSMUSG00000000204	57
ENSMUSG00000000214	6
ENSMUSG00000000215	0
ENSMUSG00000000216	1073
ENSMUSG00000000223	182
ENSMUSG00000000244	157
ENSMUSG00000000247	87
ENSMUSG00000000248	1
ENSMUSG00000000253	2840
ENSMUSG00000000263	4
ENSMUSG00000000266	2363
ENSMUSG00000000275	4119
ENSMUSG00000000276	1791
ENSMUSG00000000278	4246
ENSMUSG00000000282	3200
ENSMUSG00000000290	4060
ENSMUSG00000000295	608
ENSMUSG00000000296	435
ENSMUSG00000000301	222
ENSMUSG00000000303	44670
ENSMUSG00000000305	2776
ENSMUSG00000000308	6185
ENSMUSG00000000317	489
ENSMUSG00000000318	604
ENSMUSG00000000320	334
ENSMUSG00000000325	1135
ENSMUSG00000000326	5030
ENSMUSG00000000339	1030
ENSMUSG00000000340	1987
ENSMUSG00000000346	16499
ENSMUSG00000000355	1531
ENSMUSG00000000359	237
ENSMUSG00000000365	3
ENSMUSG00000000374	4603
ENSMUSG00000000378	1404
ENSMUSG00000000381	0
ENSMUSG00000000384	1476
ENSMUSG00000000385	18426
ENSMUSG00000000386	485
ENSMUSG00000000392	449
ENSMUSG00000000394	0
ENSMUSG00000000399	4224
ENSMUSG00000000402	1436
ENSMUSG00000000409	333
ENSMUSG00000000411	8
ENSMUSG00000000416	355
ENSMUSG00000000420	9229
ENSMUSG00000000435	3
ENSMUSG00000000439	1721
ENSMUSG00000000440	910
ENSMUSG00000000441	7087
ENSMUSG00000000486	442
ENSMUSG00000000489	2897
ENSMUSG00000000530	3064
ENSMUSG00000000531	386
ENSMUSG00000000532	3328
ENSMUSG00000000538	9266
ENSMUSG00000000544	0
ENSMUSG00000000552	751
ENSMUSG00000000555	2279
ENSMUSG00000000560	12
ENSMUSG00000000561	1931
ENSMUSG00000000562	28
ENSMUSG00000000563	10473
ENSMUSG00000000567	10543
ENSMUSG00000000568	5433
ENSMUSG00000000579	156
ENSMUSG00000000581	1340
ENSMUSG00000000594	7547
ENSMUSG00000000600	5337
ENSMUSG00000000605	6362
ENSMUSG00000000606	0
ENSMUSG00000000617	1
ENSMUSG00000000627	70
ENSMUSG00000000628	2360
ENSMUSG00000000631	9418
ENSMUSG00000000632	2
ENSMUSG00000000673	52
ENSMUSG00000000682	1682
ENSMUSG00000000686	138
ENSMUSG00000000690	376
ENSMUSG00000000693	702
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	5826
ENSMUSG00000000711	9121
ENSMUSG00000000724	0
ENSMUSG00000000730	8
ENSMUSG00000000731	40
ENSMUSG00000000732	1347
ENSMUSG00000000738	3549
ENSMUSG00000000739	246
ENSMUSG00000000740	15145
ENSMUSG00000000743	4925
ENSMUSG00000000751	2130
ENSMUSG00000000753	7994
ENSMUSG00000000759	5218
ENSMUSG00000000766	1
ENSMUSG00000000776	1426
ENSMUSG00000000782	624
ENSMUSG00000000787	22025
ENSMUSG00000000791	60
ENSMUSG00000000792	5051
ENSMUSG00000000794	272
ENSMUSG00000000804	3920
ENSMUSG00000000805	407
ENSMUSG00000000811	996
ENSMUSG00000000817	15
ENSMUSG00000000823	3884
ENSMUSG00000000826	8670
ENSMUSG00000000827	6243
ENSMUSG00000000838	4150
ENSMUSG00000000861	101
ENSMUSG00000000869	6
ENSMUSG00000000876	1044
ENSMUSG00000000881	3870
ENSMUSG00000000884	184
ENSMUSG00000000889	0
ENSMUSG00000000901	3602
ENSMUSG00000000902	3967
ENSMUSG00000000903	119
ENSMUSG00000000915	5257
ENSMUSG00000000916	782
ENSMUSG00000000934	735
ENSMUSG00000000938	0
ENSMUSG00000000942	67
ENSMUSG00000000948	106
ENSMUSG00000000957	4566
ENSMUSG00000000958	1034
ENSMUSG00000000959	3262
ENSMUSG00000000976	1330
ENSMUSG00000000982	384
ENSMUSG00000000983	2
ENSMUSG00000001014	43
ENSMUSG00000001016	5814
ENSMUSG00000001017	7331
ENSMUSG00000001018	4763
ENSMUSG00000001020	799
ENSMUSG00000001021	43
ENSMUSG00000001023	74
ENSMUSG00000001025	11925
ENSMUSG00000001027	1102
ENSMUSG00000001029	458
ENSMUSG00000001034	1649
ENSMUSG00000001036	4819
ENSMUSG00000001039	762
ENSMUSG00000001052	5086
ENSMUSG00000001053	1221
ENSMUSG00000001054	2194
ENSMUSG00000001056	1502
ENSMUSG00000001062	1863
ENSMUSG00000001065	1606
ENSMUSG00000001076	0
ENSMUSG00000001082	2134
ENSMUSG00000001089	4099
ENSMUSG00000001095	8
ENSMUSG00000001098	9842
ENSMUSG00000001100	3175
ENSMUSG00000001103	1
ENSMUSG00000001105	2332
ENSMUSG00000001119	12224
ENSMUSG00000001120	314
ENSMUSG00000001123	1595
ENSMUSG00000001127	6476
ENSMUSG00000001128	1842
ENSMUSG00000001131	914
ENSMUSG00000001134	688
ENSMUSG00000001138	1612
ENSMUSG00000001143	1799
ENSMUSG00000001150	2222
ENSMUSG00000001151	3522
ENSMUSG00000001155	0
ENSMUSG00000001156	1712
ENSMUSG00000001157	1666
ENSMUSG00000001158	2303
ENSMUSG00000001166	190
ENSMUSG00000001168	0
ENSMUSG00000001173	3411
ENSMUSG00000001175	37976
ENSMUSG00000001211	7842
ENSMUSG00000001225	0
ENSMUSG00000001227	882
ENSMUSG00000001228	557
ENSMUSG00000001229	3295
ENSMUSG00000001240	780
ENSMUSG00000001247	6958
ENSMUSG00000001248	3436
ENSMUSG00000001249	1313
ENSMUSG00000001260	0
ENSMUSG00000001270	1992
ENSMUSG00000001280	7018
ENSMUSG00000001281	725
ENSMUSG00000001285	1317
ENSMUSG00000001288	4732
ENSMUSG00000001289	6105
ENSMUSG00000001300	3825
ENSMUSG00000001305	769
ENSMUSG00000001313	618
ENSMUSG00000001323	1800
ENSMUSG00000001333	263
ENSMUSG00000001334	217
ENSMUSG00000001348	1960
ENSMUSG00000001349	107
ENSMUSG00000001366	2532
ENSMUSG00000001376	2036
ENSMUSG00000001380	2818
ENSMUSG00000001383	3202
ENSMUSG00000001403	176
ENSMUSG00000001415	4364
ENSMUSG00000001416	7005
ENSMUSG00000001418	8555
ENSMUSG00000001419	6462
ENSMUSG00000001420	1454
ENSMUSG00000001424	5175
ENSMUSG00000001435	16218
ENSMUSG00000001436	469
ENSMUSG00000001440	12781
ENSMUSG00000001441	6254
ENSMUSG00000001444	15
ENSMUSG00000001445	2182
ENSMUSG00000001467	1412
ENSMUSG00000001472	25940
ENSMUSG00000001473	4412
ENSMUSG00000001482	1890
ENSMUSG00000001493	1067
ENSMUSG00000001494	2
ENSMUSG00000001496	15705
ENSMUSG00000001497	1492
ENSMUSG00000001504	475
ENSMUSG00000001506	3901
ENSMUSG00000001507	23943
ENSMUSG00000001508	332
ENSMUSG00000001510	39
ENSMUSG00000001517	249
ENSMUSG00000001518	1336
ENSMUSG00000001520	90
ENSMUSG00000001521	953
ENSMUSG00000001524	504
ENSMUSG00000001525	16435
