ros
BCL2
BUB1
BUB3
MAPK3
MAPK1
MAPK2
ERK2
MAPK6
ERK3
MAPK7
BMK1
ERK5
HIF1AN
GPX7
GPX1
HIF1A
MKK1
MAP2K1
MEK1
MKK2
MAP2K2
MEK2
MEK5
MAP2K5
NOX4
P67PHOX
NCF-2
NCF2
PRKACA
PRKACB
RAF1
RAF-1
BRAF
B-RAF
AGER
RAGE
SOD1
SOD2
SOD3
TXNRD1
SASP
TXN2
TXN
TXNRD2
MTOR
FIS1
MFF
DRP1
MID49
MID51
MFN1
MFN2
OPA1
MFN2
POMC
AGRP
MFN1
SOD2
GPX-1
OPA1
PPARGC1A
MFN2
USP30
USP15
AMBRA1
USP8
PRKN
PARK2
OPTN
TBK1
SQSTM1
CALCOCO2
NBR1
C77254
GABARAP
SRC
ULK1
FUNDC1
CSNK2A1
PGAM5
BCL2L1
BNIP3
BNIP3L
RHOT2
BECN1
TOMM7
ATG5
ATG9B
TFEB
MITF
TFE3
TAX1BP1
TBC1D17
RAB7
FIS1
EIF2AK3
ATF4
HIF1A
E2F1
RELA
TRP53
HRAS
SP1
MAPK10
JUN
JUNC
FOXO3
CITED2
MFN2
UBA52
NFE2L2
GPX1
SOD2
PRDX3
PRDX5
NRF1
MEF2
GPX2
TXNRD2
NOX4
KLF9
NQO1
HMOX1
ATF4
