Gene symbol	P2	P4	P6	P8	P9	W5	W6	W7	W8	W9
PLCB4	1551.564321	1714.789272	1914.068095	1635.810879	1230.791922	1264.729982	1677.931094	2183.774766	2364.554213	2145.815768
PLCD1	527.8442956	463.3415664	340.1558912	469.1461219	474.695675	500.0551858	420.6065262	589.3526069	427.1494308	482.1512577
PLCD3	191.3938071	140.4923655	97.85834152	88.67197244	143.0630523	146.771128	134.0425705	322.0925479	135.1162358	130.484421
PLCD4	1472.481121	2525.107642	1673.01076	2064.395331	2936.033312	3542.868333	3210.498755	5765.857734	1938.367233	3084.712423
PLCE1	119.945809	147.0363012	99.9065465	158.448202	211.581749	149.9638457	166.2935126	21.03395268	119.3036505	131.0009719
PLCG1	86.02159707	76.11908817	98.05739268	105.1650319	89.27432172	99.85611042	94.00782604	86.85491253	54.47836848	70.46133406
PLCG2	205.4202771	216.8278059	123.8311627	196.4131372	169.2654515	187.0077831	242.4638891	107.3603009	207.3584921	220.0298709
PLCH1	194.2591391	309.9255285	167.9643468	91.4453066	144.4904899	102.4080594	84.14951943	0	105.4213452	124.9219309
PLCH2	639.1085084	399.4245931	422.2791532	586.3131504	305.1843781	421.3443087	340.611007	257.6247086	462.1044339	412.700245
PLCL1	1708.520187	1600.334203	1427.392959	1751.806131	1986.66208	1283.334372	1430.774182	3146.064071	1460.112481	1738.101509
PLCL2	377.8586643	263.2994202	339.1423474	248.9654686	189.0909815	286.8530136	339.172082	356.1603089	453.3560007	376.8274899
PLCXD1	3.704136324	1.320016778	2.522025521	5.153267547	2.156787805	19.13192357	25.22200657	0	27.52491076	18.99081991
PLCXD2	107.0271622	124.7707333	102.9524045	94.16047235	99.38111116	85.22973115	116.6152587	0	86.92897962	101.6455808
PLCXD3	127.8620305	116.3556917	78.95517349	136.5662657	106.2302788	132.1898484	102.1657609	84.76376777	97.62421791	110.8849873
PLD1	4518.197282	5146.512325	6147.642809	4834.368349	5218.308379	5834.042876	5158.139412	5201.547787	5883.670808	5542.882825
PLD2	402.7702696	364.9732422	327.1120731	344.6917363	372.3415085	319.5437227	357.8817281	434.8763018	477.7753767	402.7007769
PLD3	2784.925378	2576.156672	2659.762489	2977.064425	4078.781892	2679.66685	2433.593523	2213.685294	2361.436451	2839.442319
PLD4	518.1433136	518.4163367	573.9981811	514.4477289	381.1145189	675.1173385	767.2640068	1338.171655	638.8814814	563.4622359
PLD5	3.369012345	14.39921157	3.192661287	11.03554861	14.65153252	9.442156609	11.05405843	0	8.269685759	4.236512999
PLD6	10.09030971	7.542446883	24.25727516	98.16510418	9.326426945	7.068759284	6.926647871	0	11.71837702	8.47892229
PLEC	583.0379926	525.6065269	469.4426084	501.5844016	513.6440765	537.5134	549.3444275	547.1023527	585.3396628	583.636738
PLEK	542.8594899	486.3505985	514.6726687	502.4396843	426.9704644	517.7594269	537.1793045	343.9464184	525.4578033	421.8971067
PLEK2	472.060106	439.2165335	342.9107869	413.5510922	407.3201411	503.8919142	545.1975745	908.9502092	507.8102407	493.2391107
PLEKHA1	4061.769058	2930.899383	3203.8044	2974.672342	2849.905195	3095.256668	3749.089176	3481.684708	3754.548029	2897.159531
PLEKHA2	225.3942173	221.7606794	342.6378854	281.7188262	261.3272624	365.7212179	304.257567	678.643159	441.713471	291.1825735
PLEKHA3	276.334139	713.9019405	415.3783426	716.5248367	832.4555416	1119.591088	666.6080511	579.3808223	201.7916363	430.0214413
PLEKHA4	475.2166777	398.1943843	527.2209924	356.3806798	417.9373617	350.2494966	397.5769003	470.5787842	614.4592761	525.6483237
PLEKHA5	8.453323672	18.31852422	30.91958466	16.8059961	35.87251662	4.398409762	9.896636481	0	21.41979815	18.89650547
PLEKHA6	397.4179247	0	0	1062.61577	335.779132	0	0	0	0	0
PLEKHA7	521.3155459	429.5623538	476.1170897	449.159686	383.3218653	304.5264343	345.7954939	183.9222055	323.9789067	422.3148394
PLEKHA8	94.30902004	78.28804226	70.3138179	73.1656548	79.18946638	32.58999415	40.88362537	0	50.68879354	25.88981518
PLEKHB1	8745.775168	7305.298332	7254.643964	7718.993089	5745.886625	5666.361262	5708.376046	4444.408308	6438.667918	4992.646263
PLEKHB2	591.5210677	856.6545637	640.1770005	601.5831553	686.2500067	601.1245669	528.5514226	263.7358753	544.1221713	598.5421091
PLEKHD1	47.89762058	47.31162959	61.9504585	57.06452593	37.95268989	33.09125132	40.68555806	39.56616308	33.7615882	43.93157329
PLEKHF1	15.97599743	23.30794963	19.75036279	15.07121726	22.02482129	23.30521302	3.521153696	0	8.28665222	5.855580525
PLEKHF2	9.485282961	35.66724969	14.50355153	54.94064498	25.38317487	0	0	0	0	0
PLEKHG1	317.7607121	254.5854587	257.8302241	285.5984664	336.5770783	229.6307052	275.7972267	292.6248703	298.9523373	238.4889137
PLEKHG2	70658.35878	64056.98855	78349.43705	65917.15195	78166.08841	47878.29734	50315.00781	49318.30361	61971.51178	54896.20566
PLEKHG3	192.3379098	170.5031631	161.9700978	181.6600716	279.849274	158.3666282	166.8416069	86.64907213	142.2320236	178.478651
PLEKHG4	257.7159923	277.6991993	234.2863123	273.620116	323.7432773	295.4135707	231.2425399	197.3638583	224.7068307	243.7385401
PLEKHG5	1059.602962	1034.546811	1363.713564	1106.660655	1064.591796	786.1575943	1020.112201	1217.375711	1074.13866	1478.00607
PLEKHG6	821.6729986	739.8793477	776.1972048	752.0802044	815.492769	681.556074	851.7979575	439.8553319	815.8120461	819.1154186
PLEKHH1	1.120257304	8.539254272	2.121028537	5.921973611	1.658421458	14.39199344	28.89838931	0	6.292539046	14.94094644
PLEKHH2	445.7291565	388.3720136	479.1167696	313.3989367	335.9670936	370.4158524	355.8366786	1778.646698	394.3222651	312.6297836
PLEKHH3	13.74311898	11.31645508	6.537806083	7.156731646	8.968791552	33.9519354	11.82285281	0	46.43122175	36.61125613
PLEKHJ1	789.162523	815.932019	953.2751847	866.2551625	701.7280487	731.1632825	886.793	544.2138558	856.2422294	584.5612926
PLEKHM1	2010.332497	2006.147259	2279.619013	2132.533033	2138.867815	1914.93792	2071.512947	1769.787279	2513.970209	2255.593872
PLEKHM2	11.61090376	4.556468435	5.177315578	18.57886427	3.39309688	43.09444421	2.75257872	0	1.839220053	2.507664924
PLEKHM3	97.35517474	106.2819388	95.976813	129.3197677	139.9957558	164.911665	146.1544732	321.0495995	179.9251847	167.2096962
PLEKHO1	757.0654221	389.6891911	595.9800587	537.3129912	473.3259601	419.9885946	508.8517125	208.6284735	660.3991435	528.9635765
PLEKHO2	14.14276303	9.599477241	10.85410971	7.793245521	11.98867907	2.359241552	11.75410704	0	8.959519133	10.06383709
PLEKHS1	1489.795231	1816.425087	1537.437925	1677.442203	1646.806146	2546.476585	2134.644022	2040.509739	1413.21244	1763.611679
PLET1	1149.493486	985.1108758	1314.041973	1051.306703	872.0082567	911.4334802	964.6015289	880.903331	1020.298588	917.1064568
PLGRKT	36.86280797	41.13613845	25.20992363	39.94641124	28.90568516	35.66266395	32.37025676	0	44.00624542	31.25362831
PLIN1	1177.584161	1273.666737	1111.28778	1947.619232	1664.265069	1497.51323	1196.93578	1135.666995	1361.871953	1325.933879
PLIN2	4.654315383	1.319333469	6.776924788	2.631277128	1.996338487	9.069397619	5.535373982	0	4.932995802	7.853039722
PLIN3	38.06353931	42.50236165	49.52096679	38.73353815	40.52499221	91.55945709	115.9265734	43.77718203	84.68083283	128.8469039
PLIN4	1126.197159	3694.598247	2489.755778	2849.373994	3221.908987	5806.288254	4687.744375	2917.799529	1988.231407	3863.239566
PLIN5	79.14427304	76.40316929	96.95258798	61.9585476	95.02677851	66.84962526	51.16814323	37.54995726	82.37117524	69.48242515
PLK1	8682.324664	5133.364449	7615.774557	6730.22836	6154.073035	5387.987814	5770.477389	4811.351575	7061.702713	5670.088656
PLK2	3.355668545	3.428334501	0	1.302849884	1.332894959	3.917071581	1.390365199	0	1.379128261	3.182703789
PLK3	1676.509596	1623.659583	1937.869072	1521.504944	1759.244758	1564.03889	1475.16383	1838.036408	1816.058537	1552.937006
PLK4	244.3469822	184.6898482	210.1033527	216.6685455	353.2331139	197.073124	231.4348596	74.19298369	241.1213287	218.9506067
PLK5	2028.185548	2642.527288	2900.232916	2584.897734	2253.287549	2841.392661	3041.667312	3041.309987	3081.52035	2864.964438
PLLP	3.042150935	0	4.461626643	2.414345023	3.570025156	2.903953919	2.572737832	0	7.937160086	6.065244352
PLN	628.5595518	732.8167913	801.0469195	689.1739441	851.1901994	708.4756234	682.1500848	369.2005522	758.199912	712.5952488
PLOD1	3004.468728	3399.37171	3084.637243	3767.717084	3943.39352	3978.966779	3660.16889	3422.715425	3695.559339	3659.319233
PLOD2	1179.716477	1124.333094	1353.460833	1057.800166	892.0801246	827.998715	958.7240777	1843.832151	1005.657366	879.307326
PLOD3	718.4246299	1156.778666	984.4486094	1103.873189	877.2668106	1092.569686	1469.623876	1190.152006	1398.722323	1224.074154
PLP1	1789.615811	1197.091974	1630.533049	1196.039953	1014.363011	1318.225542	1759.214366	1792.307721	1618.221275	1089.241403
PLP2	1184.846946	1440.921608	1736.034903	1603.954197	1020.021089	358.8953239	1125.856718	2322.394121	1933.522503	2152.329681
PLPBP	618.5422405	520.178829	549.5062418	549.4452265	529.5148684	548.6556815	676.5253354	671.2612707	642.5372305	665.1949434
PLPP1	261.6182425	220.7943974	152.2810788	172.6231603	220.979056	228.1083473	322.0663596	602.6146604	242.5403288	342.9613722
PLPP2	4.652484216	22.96626609	12.85084352	23.03507312	12.62472454	26.61136922	16.54794061	0	24.78399062	28.60089372
PLPP3	970.8006256	1173.573159	1368.250617	1292.284622	1343.766095	527.3141085	716.909114	551.5988634	858.8758434	629.6087109
PLPP5	129.8701719	180.9301447	144.5137912	261.7163374	218.5082339	199.1031589	180.8970895	117.1926453	239.8390112	213.5172676
PLPP6	329.9631347	272.5327988	211.3230152	247.4553224	339.1326128	198.5728422	167.0738213	0	171.8880162	237.9767354
PLPP7	29.02160422	17.14188161	26.18728538	38.24383845	23.96818482	4.72968019	13.09288158	39.58274402	10.33445065	15.87584616
PLPPR1	2339.867438	464.202955	134.1026255	4740.074382	1592.222796	640.8232598	642.0475072	79.07876128	21.36180306	7.41243379
PLPPR2	3082.051862	2880.980804	3513.156866	2824.814453	3037.273238	2797.118274	2541.439592	1954.084989	3163.653662	2958.871902
PLPPR3	9.134394074	5.988413682	9.867294333	9.62443465	5.280991972	12.63762309	10.89461513	0	16.23134637	9.395533735
PLPPR4	361.2599622	342.0719023	437.5369567	396.7746861	374.504088	269.0572793	263.4755645	218.9184532	263.2685988	283.0966332
PLPPR5	459.0270854	390.1490953	454.1395364	370.0651278	394.1311477	519.5769094	690.9774468	316.7133387	830.1781499	423.324541
PLRG1	66.11367447	72.07849123	55.46742231	30.68306673	43.10682734	79.74402081	123.4769399	0	90.97408259	73.73057485
PLS1	32.26107752	42.1955862	52.27660352	53.57521661	54.23108029	24.18512417	19.73133033	0	20.49299473	36.68011775
PLS3	406.2815687	348.9627642	313.3652581	479.0826974	418.6422008	300.8169661	280.9312649	679.3006085	351.2264788	275.088309
PLSCR1	3834.542984	3522.784483	5396.168216	3778.179112	3117.663277	3609.087647	3277.728508	2990.546404	3619.127156	2957.59616
PLSCR3	577.5835807	919.5484151	676.1509904	892.2210853	1269.330299	1123.403724	988.8832717	495.6734305	669.0379193	955.0132617
PLSCR4	239.9726561	141.7842551	125.1183128	200.0821144	214.4350662	162.5644256	194.774367	718.045063	351.0846563	158.0215134
PLSCR5	0.6618335	2.740820529	1.908817956	0	0	0.773125365	0	0	2.07459353	0
PLTP	597.7257705	579.6673612	597.680927	641.8926277	601.3345388	543.8991709	515.6017912	338.4842281	508.046729	506.1066038
PLVAP	691.2070765	1019.60047	217.7698534	1294.128917	781.7469403	1079.725541	813.5201881	553.7249012	260.4624651	700.9042395
PLXDC1	1169.578055	1367.039109	1390.361679	1330.573298	1583.217199	1150.509847	1013.941723	1118.292618	1139.034686	1042.037056
PLXDC2	4.820331832	9.846169665	25.91459394	12.2739278	10.58454734	65.41457545	12.47147616	0	10.52026816	20.46803847
PLXNA1	1946.682169	1933.07334	1490.571737	2242.807304	1480.561288	1666.469647	2132.858018	1630.226911	1987.32768	1690.841046
PLXNA2	1249.481827	1058.199568	1095.16216	999.4380491	907.4243371	1175.009864	1113.489093	912.3788934	1147.080528	921.4379535
PLXNA3	1709.046269	1779.260144	2131.830577	1745.329003	1142.958582	1721.89962	1717.052239	1896.879132	1739.473101	1451.554174
PLXNA4	3162.020683	2085.85009	2183.801387	2262.46949	1930.336881	2279.597823	2277.167649	2382.008128	2350.508525	2117.611136
PLXNB1	449.9501943	396.4062795	371.1637145	313.7835866	306.5749094	387.5641731	306.5382701	592.6899891	391.4643571	389.3747488
PLXNB2	229.8545193	195.3863698	184.2672687	172.2661923	110.0107896	259.6671876	164.9727768	179.7362179	188.5594078	180.4405302
PLXNB3	141.9863973	167.0150468	83.66225594	114.3341276	147.3351365	136.9912143	133.2796176	76.7544197	168.789364	157.7237422
PLXNC1	156.791441	113.7247073	153.4110617	124.5654421	142.122058	160.9579691	171.9850617	121.9590671	171.8471877	173.7245814
PLXND1	695.2357745	329.3496251	285.4511675	302.1420668	257.7637031	349.7923415	350.1712609	143.866252	287.2739812	272.2657555
PM20D1	506.7439054	510.6786864	450.5587765	457.3428248	492.8339757	619.3864466	456.0395973	690.9629364	431.1911664	484.4835808
