Fatty acid metabolism,Metabolic pathways,Citrate cycle (TCA cycle),Carbon metabolism,Propanoate metabolism,"Valine, leucine and isoleucine degradation",PPAR signaling pathway,Biosynthesis of antibiotics,Fatty acid degradation,Pyruvate metabolism,Regulation of lipolysis in adipocytes,Glucagon signaling pathway,beta-Alanine metabolism,Insulin signaling pathway,Insulin resistance
, ENSMUSG00000021577,,,,,,,,,,,,,
, ENSMUSG00000050737,,,,,,,,,,,,,
, ENSMUSG00000022546,,,,,,,,,,,,,
, ENSMUSG00000018796,,,,,,,,,,,,,
, ENSMUSG00000064370,,,,,,,,,,,,,
, ENSMUSG00000034040,,,,,,,,,,,,,
, ENSMUSG00000022707,,,,,,,,,,,,,
, ENSMUSG00000019326,,,,,,,,,,,,,
, ENSMUSG00000035769,,,,,,,,,,,,,
, ENSMUSG00000048142,,,,,,,,,,,,,
, ENSMUSG00000027984,,,,,,,,,,,,,
, ENSMUSG00000064345,,,,,,,,,,,,,
, ENSMUSG00000020593,,,,,,,,,,,,,
, ENSMUSG00000025968,,,,,,,,,,,,,
, ENSMUSG00000042010,,,,,,,,,,,,,
, ENSMUSG00000033308,,,,,,,,,,,,,
, ENSMUSG00000037306,,,,,,,,,,,,,
, ENSMUSG00000032456,,,,,,,,,,,,,
