,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000023809_Rps6ka2,1289.55677,-0.771541349,0.211766955,-3.643351007,0.000269111,0.004758419
ENSMUSG00000011884_Gltp,1676.986851,0.765412289,0.210180643,3.641687832,0.000270856,0.004782438
ENSMUSG00000034641_Cd300ld,121.8404712,0.720603895,0.198149425,3.636669123,0.000276186,0.004862521
ENSMUSG00000049625_Tifab,141.6678165,0.937405636,0.257862921,3.635286662,0.000277672,0.00488399
ENSMUSG00000021477_Ctsl,14189.57652,0.79789269,0.219587761,3.633593633,0.000279501,0.004902078
ENSMUSG00000100826_Snhg14,155.3073896,-0.723444487,0.199256973,-3.630711022,0.000282642,0.004947708
ENSMUSG00000039063_Echdc3,286.2081727,-0.641551423,0.176730565,-3.630110174,0.0002833,0.004954517
ENSMUSG00000059832_Kprp,282.3607336,10.9758833,3.024718741,3.628728565,0.000284821,0.004976365
ENSMUSG00000020901_Pik3r5,162.4949016,1.0100079,0.278556485,3.625863886,0.000287997,0.005027081
ENSMUSG00000041859_Mcm3,192.6450755,0.892813035,0.246333165,3.624412638,0.000289619,0.00505059
ENSMUSG00000037016_Frem2,159.6323832,-1.299963087,0.358920267,-3.621871506,0.000292479,0.005090805
ENSMUSG00000028370_Pappa,484.3390557,0.940410244,0.259737446,3.620618659,0.000293899,0.005110677
ENSMUSG00000026205_Slc23a3,128.1591486,1.557532329,0.430762001,3.615760733,0.000299467,0.00517807
ENSMUSG00000020962_Gtf2a1,1863.248198,0.929285992,0.257154996,3.613719376,0.000301836,0.00521412
ENSMUSG00000036469_Marchf1,112.242559,0.901232555,0.249444059,3.612964606,0.000302716,0.005219507
ENSMUSG00000024883_Rin1,122.3597816,1.087452211,0.301396284,3.608047841,0.00030851,0.005314411
ENSMUSG00000034159_Mab21l4,237.1794237,1.21767827,0.337631125,3.606534407,0.000310314,0.005340479
ENSMUSG00000027820_Mme,1118.368583,1.53904059,0.4271032,3.603439612,0.000314034,0.005394389
ENSMUSG00000031144_Syp,118.2654909,-0.8912335,0.247439654,-3.601821645,0.000315995,0.005417945
