,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,ensembl_id
ENSMUSG00000054708_Ankrd24,832.6834305,-0.611076211,0.178967294,-3.41445746,0.000639092,0.009433795,,ENSMUSG00000054708
ENSMUSG00000036814_Slc6a20a,143.0015235,-1.707760449,0.500680089,-3.410881493,0.000647532,0.009520124,,ENSMUSG00000036814
ENSMUSG00000017639_Rab11fip4,905.5276323,-0.79644858,0.23379114,-3.406667079,0.000657613,0.009645164,,ENSMUSG00000017639
ENSMUSG00000095463_Entpd4,1690.57632,-0.708951184,0.208805827,-3.39526532,0.000685621,0.00994516,,ENSMUSG00000095463
ENSMUSG00000061353_Cxcl12,3335.611746,-0.777966507,0.229247966,-3.393559042,0.000689907,0.009991135,,ENSMUSG00000061353
ENSMUSG00000023034_Nr4a1,980.7050691,-1.133530347,0.334291801,-3.390841006,0.000696785,0.01006255,,ENSMUSG00000023034
ENSMUSG00000031425_Plp1,182.435083,-0.73703308,0.217770406,-3.384450141,0.00071321,0.010215811,,ENSMUSG00000031425
ENSMUSG00000013033_Adgrl1,974.9245384,-0.884743287,0.261584882,-3.382241663,0.000718969,0.010290274,,ENSMUSG00000013033
ENSMUSG00000072946_Ptgr2,1736.184229,-0.679441994,0.20162806,-3.369778966,0.000752285,0.010703513,,ENSMUSG00000072946
ENSMUSG00000010066_Cacna2d2,331.4145069,-0.849047006,0.25256824,-3.361653884,0.000774772,0.010935537,,ENSMUSG00000010066
ENSMUSG00000060227_Casc4,778.3116244,-0.785415385,0.23374629,-3.360119155,0.000779089,0.010979589,,ENSMUSG00000060227
ENSMUSG00000037996_Slc24a2,145.778974,-1.126324518,0.335958551,-3.352569874,0.00080065,0.011221403,,ENSMUSG00000037996
ENSMUSG00000051497_Kcnj16,2462.415418,-0.729332596,0.218057108,-3.344686186,0.000823757,0.011468274,,ENSMUSG00000051497
ENSMUSG00000025911_Adhfe1,364.0293546,-1.17267759,0.350700702,-3.343813066,0.000826354,0.011495711,,ENSMUSG00000025911
ENSMUSG00000032267_Usp28,561.4669212,-0.742821132,0.222456587,-3.339173468,0.000840281,0.011654135,,ENSMUSG00000032267
ENSMUSG00000028354_Fmn2,360.2436595,-0.753148044,0.22626221,-3.328651499,0.000872675,0.011994713,,ENSMUSG00000028354
ENSMUSG00000035769_Xylb,704.3236713,-0.766348475,0.231158671,-3.315248669,0.000915616,0.01240846,,ENSMUSG00000035769
ENSMUSG00000021238_Aldh6a1,2284.128748,-0.637214203,0.192563826,-3.309106477,0.000935942,0.012618729,,ENSMUSG00000021238
ENSMUSG00000042155_Klhl23,431.6851702,-1.01908326,0.308787229,-3.300276583,0.000965896,0.012927657,,ENSMUSG00000042155
ENSMUSG00000029575_Mmab,469.0039473,-0.616123961,0.186793551,-3.298422019,0.000972299,0.012994413,,ENSMUSG00000029575
ENSMUSG00000036390_Gadd45a,427.8173294,-0.73300727,0.222463894,-3.294949375,0.000984394,0.013108361,,ENSMUSG00000036390
ENSMUSG00000048371_Pdp2,443.5706291,-0.590964527,0.179606098,-3.290336643,0.001000676,0.013277031,,ENSMUSG00000048371
ENSMUSG00000027765_P2ry1,172.6514478,-0.701533768,0.213542357,-3.285220681,0.001019025,0.013445058,,ENSMUSG00000027765
ENSMUSG00000042978_Sbk1,834.4889027,-0.645410092,0.196682272,-3.281485849,0.001032617,0.013563624,,ENSMUSG00000042978
ENSMUSG00000037408_Cnnm4,313.5936454,-0.752427374,0.229392511,-3.280086912,0.001037751,0.013611588,,ENSMUSG00000037408
ENSMUSG00000020593_Lpin1,1806.062171,-1.128950158,0.344369212,-3.278313269,0.001044294,0.013674452,,ENSMUSG00000020593
ENSMUSG00000026211_Obsl1,462.5034839,-1.115434832,0.340673295,-3.274206841,0.00105959,0.01384858,,ENSMUSG00000026211
ENSMUSG00000039747_Orai2,862.614633,-0.685269058,0.209402768,-3.27249284,0.001066036,0.013922912,,ENSMUSG00000039747
ENSMUSG00000044461_Shisa2,1279.329511,-0.731262026,0.223538223,-3.271306423,0.001070518,0.013961599,,ENSMUSG00000044461
ENSMUSG00000059447_Hadhb,4997.615806,-0.805011211,0.246144521,-3.27048194,0.001073644,0.0139825,,ENSMUSG00000059447
ENSMUSG00000026003_Acadl,4240.180231,-0.65556541,0.200653803,-3.267146701,0.001086374,0.014118245,,ENSMUSG00000026003
ENSMUSG00000028664_Ephb2,166.323908,-0.884203429,0.270984277,-3.262932593,0.001102657,0.01430961,,ENSMUSG00000028664
ENSMUSG00000023078_Cxcl13,446.8227247,-1.109656859,0.340153727,-3.26222167,0.001105427,0.0143253,,ENSMUSG00000023078
ENSMUSG00000025255_Zfhx4,119.1392058,-1.101743296,0.338019806,-3.259404552,0.001116463,0.014417453,,ENSMUSG00000025255
ENSMUSG00000071226_Cecr2,289.6963876,-0.682066945,0.209819581,-3.25073066,0.001151089,0.014759797,,ENSMUSG00000071226
ENSMUSG00000021087_Rtn1,571.6266945,-0.696234964,0.214525691,-3.245461932,0.001172602,0.014931282,,ENSMUSG00000021087
ENSMUSG00000021061_Sptb,1529.069227,-1.221309783,0.376517189,-3.243702596,0.001179869,0.014962658,,ENSMUSG00000021061
ENSMUSG00000072770_Acrbp,102.8591511,-0.749813883,0.231250744,-3.242427981,0.001185159,0.015009017,,ENSMUSG00000072770
ENSMUSG00000027254_Map1a,572.2630663,-1.195749247,0.370496488,-3.227423974,0.001249102,0.015582381,,ENSMUSG00000027254
ENSMUSG00000044948_Cfap43,103.7006978,-3.245106224,1.010857473,-3.210251012,0.001326191,0.01643242,,ENSMUSG00000044948
ENSMUSG00000078566_Bnip3,2293.257645,-0.606573933,0.189052763,-3.208490176,0.001334339,0.016522226,,ENSMUSG00000078566
ENSMUSG00000025968_Ndufs1,3408.305049,-0.779316693,0.243237374,-3.203934819,0.001355632,0.016774571,,ENSMUSG00000025968
ENSMUSG00000042010_Acacb,2044.542796,-1.172514642,0.366032647,-3.203306185,0.001358595,0.016793143,,ENSMUSG00000042010
ENSMUSG00000027792_Bche,656.6362441,-0.666655059,0.208445486,-3.198222572,0.001382775,0.0170073,,ENSMUSG00000027792
ENSMUSG00000035735_Dagla,415.8145111,-0.765163181,0.239398579,-3.196189315,0.001392557,0.0171047,,ENSMUSG00000035735
ENSMUSG00000085069_Prdm16os,210.4568349,-0.755033966,0.236399847,-3.193885167,0.001403719,0.017230281,,ENSMUSG00000085069
ENSMUSG00000056476_Med12l,109.2378184,-0.897384554,0.281305886,-3.190066747,0.001422399,0.017413013,,ENSMUSG00000056476
ENSMUSG00000007682_Dio2,456.3384839,-0.656006507,0.205774517,-3.187987107,0.001432669,0.017503729,,ENSMUSG00000007682
ENSMUSG00000019278_Dpep1,1114.557568,-0.650077176,0.204102839,-3.185047205,0.001447304,0.017670773,,ENSMUSG00000019278
ENSMUSG00000070469_Adamtsl3,273.2926236,-1.219361171,0.38340432,-3.180353239,0.001470956,0.017923802,,ENSMUSG00000070469
ENSMUSG00000024972_Lgals12,208.6531841,-0.83466849,0.262622047,-3.17821181,0.001481865,0.018044747,,ENSMUSG00000024972
ENSMUSG00000044252_Osbpl1a,856.7328231,-0.581246722,0.182900218,-3.177944384,0.001483232,0.018049429,,ENSMUSG00000044252
ENSMUSG00000027016_Zfp385b,527.0315483,-0.652498584,0.205506671,-3.175072518,0.001497991,0.018193142,,ENSMUSG00000027016
ENSMUSG00000049791_Fzd4,1234.332679,-0.647465851,0.203921886,-3.175067981,0.001498014,0.018193142,,ENSMUSG00000049791
ENSMUSG00000053469_Tg,2623046.265,-0.591220145,0.186424319,-3.171368131,0.001517227,0.018377867,,ENSMUSG00000053469
ENSMUSG00000021720_Rnf180,126.6514659,-0.950180536,0.300015367,-3.167106219,0.001539641,0.018624784,,ENSMUSG00000021720
ENSMUSG00000018574_Acadvl,4201.99714,-0.669663091,0.211557712,-3.16539201,0.001548741,0.018697921,,ENSMUSG00000018574
ENSMUSG00000102252_Snrpn,466.9134058,-0.712112119,0.225011199,-3.164785222,0.001551975,0.018724646,,ENSMUSG00000102252
ENSMUSG00000029657_Hsph1,1404.735637,-0.837469353,0.264687205,-3.163996361,0.001556187,0.018763145,,ENSMUSG00000029657
ENSMUSG00000039166_Akap7,302.1230269,-0.583806078,0.184908235,-3.157274622,0.001592513,0.019063438,,ENSMUSG00000039166
ENSMUSG00000002831_Plin4,2120.960865,-1.10538617,0.350283484,-3.155690237,0.001601188,0.0191548,,ENSMUSG00000002831
ENSMUSG00000023017_Asic1,133.9634756,-0.769818136,0.244410372,-3.149695042,0.00163441,0.019526783,,ENSMUSG00000023017
ENSMUSG00000018554_Ybx2,117.3003719,-1.124641092,0.357425324,-3.14650646,0.001652336,0.019689713,,ENSMUSG00000018554
ENSMUSG00000027217_Tspan18,240.7977486,-0.680022932,0.216200677,-3.145332108,0.001658984,0.01974342,,ENSMUSG00000027217
ENSMUSG00000104063_Pcdhgb7,159.337501,-0.620047894,0.197523558,-3.139108567,0.001694627,0.020088598,,ENSMUSG00000104063
ENSMUSG00000018796_Acsl1,4272.617702,-0.665031169,0.212087284,-3.135648471,0.001714746,0.02027552,,ENSMUSG00000018796
ENSMUSG00000027809_Etfdh,2005.677718,-0.597879516,0.190866973,-3.132440915,0.001733593,0.020445711,,ENSMUSG00000027809
ENSMUSG00000022537_Tmem44,345.0957769,-0.708019233,0.226116118,-3.131219663,0.001740819,0.020504592,,ENSMUSG00000022537
ENSMUSG00000030671_Pde3b,565.5748518,-1.291296559,0.412618432,-3.129517395,0.001750937,0.02059018,,ENSMUSG00000030671
ENSMUSG00000027570_Col9a3,224.8020926,-1.273451529,0.40923745,-3.111766845,0.001859713,0.021613517,,ENSMUSG00000027570
ENSMUSG00000027386_Fbln7,290.5421018,-0.847535094,0.272536377,-3.109805392,0.001872106,0.021716671,,ENSMUSG00000027386
ENSMUSG00000020788_Atp2a3,764.3810008,-1.299187384,0.417876341,-3.109023545,0.001877068,0.021732214,,ENSMUSG00000020788
ENSMUSG00000035279_Ssc5d,146.991299,-0.823800633,0.265232867,-3.105952297,0.001896673,0.021907588,,ENSMUSG00000035279
ENSMUSG00000017167_Cntnap1,149.3856012,-0.764132187,0.246556856,-3.099212889,0.001940355,0.022325029,,ENSMUSG00000017167
ENSMUSG00000086013_Gm15706,183.0454069,-0.753297715,0.243264035,-3.096625912,0.001957367,0.022464458,,ENSMUSG00000086013
ENSMUSG00000031958_Ldhd,621.8234292,-0.821788199,0.266153782,-3.087644265,0.002017498,0.022978361,,ENSMUSG00000031958
ENSMUSG00000031299_Pdha1,8459.625258,-0.61425309,0.199006237,-3.086602199,0.002024583,0.023005832,,ENSMUSG00000031299
ENSMUSG00000027774_Gfm1,1215.369914,-0.73537677,0.23880392,-3.079416661,0.002074064,0.023423146,,ENSMUSG00000027774
ENSMUSG00000032064_Dixdc1,196.8806574,-1.002112272,0.325741723,-3.076401339,0.002095156,0.023588813,,ENSMUSG00000032064
ENSMUSG00000050394_Armcx6,110.0896529,-0.731484801,0.23841959,-3.068056624,0.002154558,0.024109778,,ENSMUSG00000050394
ENSMUSG00000021577_Sdha,9003.508084,-0.593967715,0.193674019,-3.066842516,0.002163328,0.024178449,,ENSMUSG00000021577
ENSMUSG00000091498_Mpc1-ps,224.9602844,-1.056753906,0.344570344,-3.066874226,0.002163099,0.024178449,,ENSMUSG00000091498
ENSMUSG00000020676_Ccl11,475.3204814,-0.730139081,0.238095868,-3.066576022,0.002165257,0.024185293,,ENSMUSG00000020676
ENSMUSG00000021748_Pdhb,3099.0874,-0.609862079,0.199018226,-3.064352903,0.002181414,0.024306619,,ENSMUSG00000021748
ENSMUSG00000032609_Klhdc8b,606.0431679,-0.611532713,0.1996641,-3.062807554,0.00219271,0.024373328,,ENSMUSG00000032609
ENSMUSG00000044288_Cnr1,456.4118205,-1.053591786,0.344520671,-3.05813809,0.002227169,0.024651903,,ENSMUSG00000044288
ENSMUSG00000030255_Sspn,999.3292922,-0.84491417,0.276421566,-3.056614513,0.00223852,0.024762611,,ENSMUSG00000030255
ENSMUSG00000022477_Aco2,12784.58955,-0.767003014,0.251235441,-3.052925222,0.002266224,0.025023856,,ENSMUSG00000022477
ENSMUSG00000064368_mt-Nd6,25638.07963,-0.761246444,0.24939875,-3.052326622,0.002270749,0.025044192,,ENSMUSG00000064368
ENSMUSG00000022546_Gpt,361.145221,-0.717307944,0.235100079,-3.051074869,0.002280237,0.02510517,,ENSMUSG00000022546
ENSMUSG00000053192_Mllt11,613.2487029,-0.70760238,0.231975621,-3.050330792,0.002285894,0.025135257,,ENSMUSG00000053192
ENSMUSG00000064363_mt-Nd4,172148.8396,-0.798918911,0.262488661,-3.04363209,0.002337408,0.025518326,,ENSMUSG00000064363
ENSMUSG00000021136_Smoc1,141.036085,-1.050871846,0.346357686,-3.034065325,0.002412822,0.026185961,,ENSMUSG00000021136
ENSMUSG00000015519_2310057J18Rik,445.7823707,-7.338054587,2.41950084,-3.032879537,0.002422323,0.026258036,,ENSMUSG00000015519
ENSMUSG00000005882_Uqcc1,1160.548221,-0.715340765,0.235920378,-3.032127925,0.002428363,0.026264211,,ENSMUSG00000005882
ENSMUSG00000037852_Cpe,1823.473674,-0.907576087,0.29927605,-3.032571728,0.002424795,0.026264211,,ENSMUSG00000037852
ENSMUSG00000064370_mt-Cytb,203584.7313,-0.757792139,0.250789346,-3.021628119,0.002514192,0.026951612,,ENSMUSG00000064370
ENSMUSG00000064356_mt-Atp8,19936.16576,-0.766743862,0.253831546,-3.020679955,0.002522078,0.027020371,,ENSMUSG00000064356
ENSMUSG00000038807_Rap1gap2,233.0281782,-0.830019011,0.275243006,-3.015586204,0.00256483,0.027430388,,ENSMUSG00000038807
ENSMUSG00000024501_Dpysl3,2066.035393,-0.860288942,0.285430586,-3.014004045,0.002578244,0.02749378,,ENSMUSG00000024501
ENSMUSG00000094910_D430019H16Rik,598.7653003,-0.751923043,0.249473709,-3.014037219,0.002577962,0.02749378,,ENSMUSG00000094910
ENSMUSG00000025666_Tmem47,257.7683497,-0.603911395,0.200865801,-3.006541646,0.002642379,0.02801501,,ENSMUSG00000025666
ENSMUSG00000022110_Sucla2,3674.937805,-0.815782179,0.27195695,-2.999673955,0.002702687,0.028522672,,ENSMUSG00000022110
ENSMUSG00000020664_Dld,3071.830296,-0.593529276,0.198141717,-2.995478619,0.002740145,0.028851654,,ENSMUSG00000020664
ENSMUSG00000053550_Shisa7,223.6451867,-0.881215434,0.294315444,-2.994118896,0.002752387,0.028963941,,ENSMUSG00000053550
ENSMUSG00000027784_Ppm1l,1357.438894,-0.83362272,0.278791769,-2.990126727,0.002788617,0.02927809,,ENSMUSG00000027784
ENSMUSG00000032279_Idh3a,4383.503061,-0.818082579,0.273748294,-2.98844814,0.002803981,0.029355473,,ENSMUSG00000032279
ENSMUSG00000048445_Ccdc57,120.5104042,-0.632562515,0.21175799,-2.987195509,0.002815496,0.02943356,,ENSMUSG00000048445
ENSMUSG00000029833_Trim24,609.0686614,-0.625723751,0.210020451,-2.979346765,0.002888637,0.030019262,,ENSMUSG00000029833
ENSMUSG00000022763_Aifm3,140.479168,-1.026622955,0.345085164,-2.974984328,0.002930035,0.030363564,,ENSMUSG00000022763
ENSMUSG00000026986_Hnmt,196.3508932,-0.733824063,0.246785788,-2.973526424,0.002943991,0.030456619,,ENSMUSG00000026986
ENSMUSG00000041679_Lrrc29,112.3389447,-0.638685111,0.215192475,-2.967971391,0.002997722,0.030898612,,ENSMUSG00000041679
ENSMUSG00000104445_Rhbg,172.7170465,-0.79281124,0.267129377,-2.967892374,0.002998493,0.030898612,,ENSMUSG00000104445
ENSMUSG00000034040_Galnt17,187.4036613,-1.220871513,0.411453701,-2.967214803,0.003005109,0.030932075,,ENSMUSG00000034040
ENSMUSG00000036879_Phkb,2467.444594,-0.777188913,0.262565568,-2.959980319,0.003076587,0.031508849,,ENSMUSG00000036879
ENSMUSG00000040370_Etfrf1,589.6181841,-0.603409543,0.20445584,-2.951295213,0.003164443,0.03213975,,ENSMUSG00000040370
ENSMUSG00000005338_Cadm3,1063.055063,-0.709590474,0.240531776,-2.95009036,0.00317681,0.03224752,,ENSMUSG00000005338
ENSMUSG00000025650_Col7a1,483.8131968,-0.965564866,0.328369123,-2.940486175,0.003276976,0.032990743,,ENSMUSG00000025650
ENSMUSG00000026255_Efhd1,158.0023274,-1.117807463,0.380464736,-2.938005438,0.003303312,0.033164966,,ENSMUSG00000026255
ENSMUSG00000032314_Etfa,2310.974019,-0.642302446,0.218846226,-2.934948697,0.003336028,0.033374766,,ENSMUSG00000032314
ENSMUSG00000038738_Shank1,219.2136845,-1.138513024,0.387903883,-2.935039001,0.003335058,0.033374766,,ENSMUSG00000038738
ENSMUSG00000059824_Dbp,732.5214825,-0.89791804,0.306558305,-2.929028592,0.003400231,0.033878703,,ENSMUSG00000059824
ENSMUSG00000048142_Nat8l,128.7426659,-1.213137511,0.415614397,-2.91890156,0.003512671,0.034642895,,ENSMUSG00000048142
ENSMUSG00000102752_Gm7694,634.8188584,-0.662841279,0.227113189,-2.918550358,0.003516631,0.034662313,,ENSMUSG00000102752
ENSMUSG00000024978_Gpam,1740.306918,-0.855946245,0.293420118,-2.917135505,0.003532623,0.0347826,,ENSMUSG00000024978
ENSMUSG00000021775_Nr1d2,2409.241744,-0.591161169,0.20297603,-2.912467886,0.003585851,0.035193467,,ENSMUSG00000021775
ENSMUSG00000028402_Mpdz,979.7215233,-1.120019052,0.384653672,-2.911759674,0.00359399,0.035216886,,ENSMUSG00000028402
ENSMUSG00000067586_S1pr3,255.2729963,-0.649280592,0.223018244,-2.911333975,0.003598891,0.035242474,,ENSMUSG00000067586
ENSMUSG00000041329_Atp1b2,770.6299004,-1.013849066,0.348367036,-2.910289897,0.003610937,0.035307576,,ENSMUSG00000041329
ENSMUSG00000028957_Per3,472.6363061,-0.769607417,0.26551035,-2.898596668,0.003748367,0.036457241,,ENSMUSG00000028957
ENSMUSG00000052920_Prkg1,273.5929259,-1.279922817,0.442754467,-2.890818525,0.003842399,0.037138538,,ENSMUSG00000052920
ENSMUSG00000028607_Cpt2,975.6684567,-0.622772615,0.216272155,-2.87957835,0.003982073,0.038130273,,ENSMUSG00000028607
ENSMUSG00000005580_Adcy9,483.1530653,-0.717823238,0.249741898,-2.87426036,0.00404975,0.038631456,,ENSMUSG00000005580
ENSMUSG00000027332_Ivd,1995.367883,-0.585856248,0.20405813,-2.871026244,0.004091416,0.038951205,,ENSMUSG00000027332
ENSMUSG00000027438_Napb,261.2221063,-0.767985809,0.267572223,-2.870200055,0.004102122,0.038951839,,ENSMUSG00000027438
ENSMUSG00000049892_Rasd1,132.389941,-0.967531194,0.33705081,-2.870579642,0.0040972,0.038951839,,ENSMUSG00000049892
ENSMUSG00000024645_Timm21,424.022017,-0.585254076,0.204208821,-2.865958845,0.004157483,0.039291744,,ENSMUSG00000024645
ENSMUSG00000028444_Cntfr,144.7105012,-1.005102521,0.350848351,-2.864777669,0.004173021,0.03939804,,ENSMUSG00000028444
ENSMUSG00000024526_Cidea,656.4032356,-1.249549124,0.436220545,-2.864489397,0.004176821,0.039413654,,ENSMUSG00000024526
ENSMUSG00000060798_Intu,384.7820287,-0.626599096,0.219149137,-2.859235969,0.004246628,0.039908303,,ENSMUSG00000060798
ENSMUSG00000028076_Cd1d1,224.6139011,-0.945359581,0.330776888,-2.857997686,0.004263235,0.040023407,,ENSMUSG00000028076
ENSMUSG00000023921_Mmut,1288.673758,-0.618017655,0.216325139,-2.856892447,0.004278108,0.040101528,,ENSMUSG00000023921
ENSMUSG00000025932_Eya1,363.561024,-1.045695513,0.366326259,-2.854546974,0.004309826,0.040316521,,ENSMUSG00000025932
ENSMUSG00000034839_Larp6,183.856257,-0.633257569,0.221936125,-2.853332555,0.004326332,0.040390182,,ENSMUSG00000034839
ENSMUSG00000030098_Grip2,114.0900651,-1.304349096,0.457727098,-2.849621751,0.004377125,0.040774244,,ENSMUSG00000030098
ENSMUSG00000036561_Ppp6r2,852.6577492,-0.608083162,0.213531736,-2.847741385,0.004403069,0.040938508,,ENSMUSG00000036561
ENSMUSG00000022707_Gbe1,1156.56413,-0.642991419,0.225885447,-2.846537607,0.004419751,0.041072816,,ENSMUSG00000022707
ENSMUSG00000026207_Speg,1437.766015,-0.87701168,0.30822541,-2.845358139,0.004436151,0.041183544,,ENSMUSG00000026207
ENSMUSG00000037712_Fermt2,2035.927994,-0.651346608,0.228955044,-2.844866825,0.004442999,0.041205454,,ENSMUSG00000037712
ENSMUSG00000005683_Cs,7707.970009,-0.648475343,0.228048992,-2.843579087,0.004460994,0.041309746,,ENSMUSG00000005683
ENSMUSG00000035948_Acss3,262.0527655,-0.840854586,0.295828256,-2.842374142,0.004477891,0.041382742,,ENSMUSG00000035948
ENSMUSG00000034799_Unc13a,152.7854983,-1.067406392,0.376731684,-2.83333321,0.004606534,0.042273755,,ENSMUSG00000034799
ENSMUSG00000035451_Foxa1,106.0082101,-1.554327633,0.549124592,-2.830555497,0.004646725,0.042536296,,ENSMUSG00000035451
ENSMUSG00000064345_mt-Nd2,113721.3934,-0.87941204,0.311478205,-2.823350165,0.004752463,0.043288435,,ENSMUSG00000064345
ENSMUSG00000064125_Prr36,164.9845815,-1.02271153,0.362259967,-2.823142562,0.004755542,0.043295002,,ENSMUSG00000064125
ENSMUSG00000058070_Eml1,797.1978159,-0.758175061,0.26859675,-2.822726117,0.004761723,0.043329792,,ENSMUSG00000058070
ENSMUSG00000026853_Crat,3070.349257,-0.84096591,0.298062939,-2.82143735,0.004780897,0.043439693,,ENSMUSG00000026853
ENSMUSG00000034586_Hid1,936.7415285,-0.624455563,0.221348596,-2.821140837,0.004785319,0.043442088,,ENSMUSG00000034586
ENSMUSG00000038967_Pdk2,3495.974469,-0.665323316,0.235982129,-2.819380091,0.00481165,0.043632759,,ENSMUSG00000038967
ENSMUSG00000022186_Oxct1,3513.144222,-0.78004313,0.276741436,-2.818671257,0.004822288,0.043707637,,ENSMUSG00000022186
ENSMUSG00000035686_Thrsp,2481.105908,-1.092670477,0.388108034,-2.815377115,0.004872003,0.044040138,,ENSMUSG00000035686
ENSMUSG00000064351_mt-Co1,503081.2841,-0.701684044,0.249802377,-2.808956639,0.004970234,0.044689053,,ENSMUSG00000064351
ENSMUSG00000010461_Eya4,291.8839983,-1.022698355,0.365707564,-2.796492215,0.005166066,0.045806114,,ENSMUSG00000010461
ENSMUSG00000022383_Ppara,131.138048,-1.050979287,0.376387749,-2.79227815,0.005233834,0.046228428,,ENSMUSG00000022383
ENSMUSG00000046949_Nqo2,606.5394164,-0.583699706,0.209156079,-2.790737466,0.005258811,0.046382105,,ENSMUSG00000046949
ENSMUSG00000020889_Nr1d1,2200.964351,-0.604123411,0.216700286,-2.78782932,0.005306249,0.046666022,,ENSMUSG00000020889
ENSMUSG00000039763_Dnajc28,280.4690476,-0.801450714,0.287602851,-2.786657754,0.005325469,0.046757489,,ENSMUSG00000039763
ENSMUSG00000033327_Tnxb,2046.172914,-0.709907262,0.255214696,-2.781608083,0.005409032,0.047275606,,ENSMUSG00000033327
ENSMUSG00000026303_Mlph,1059.413104,-0.624850353,0.225083865,-2.776077945,0.005501902,0.047814207,,ENSMUSG00000026303
ENSMUSG00000028926_Cdk14,338.102748,-0.807096927,0.291122128,-2.772365438,0.005565052,0.048180601,,ENSMUSG00000028926
ENSMUSG00000042359_Osbpl6,468.3537707,-1.778987347,0.644740821,-2.759228652,0.005793798,0.049576661,,ENSMUSG00000042359
ENSMUSG00000005950_P2rx5,113.6682703,-1.208729056,0.438125437,-2.758865282,0.005800244,0.049608701,,ENSMUSG00000005950
ENSMUSG00000045103_Dmd,934.6827401,-0.669215965,0.242885145,-2.755277464,0.005864238,0.049961759,,ENSMUSG00000045103
ENSMUSG00000028328_Tmod1,2415.262408,-1.011240337,0.367079246,-2.754828413,0.005872292,0.049968908,,ENSMUSG00000028328
ENSMUSG00000051985_Igfn1,2759.359468,-0.860033025,0.312268297,-2.754147739,0.00588452,0.049980313,,ENSMUSG00000051985
