,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,
ENSMUSG00000036800_Fam135b,8.174516577,3.119758654,0.872123145,3.577199702,0.000347295,0.005840087,,,19,ENSMUSG00000036800
ENSMUSG00000019866_Crybg1,829.6056511,-0.966873093,0.270385547,-3.575905241,0.000349018,0.005858335,,,19,ENSMUSG00000019866
ENSMUSG00000059791_Nrm,63.03786754,-0.842450177,0.235580438,-3.576061673,0.000348809,0.005858335,,,19,ENSMUSG00000059791
ENSMUSG00000028152_Tspan5,410.324729,-0.852190236,0.238412525,-3.574435681,0.000350984,0.005885955,,,19,ENSMUSG00000028152
ENSMUSG00000007892_Rplp1,5157.696599,-0.59852883,0.16763206,-3.570491397,0.000356312,0.005964412,,,19,ENSMUSG00000007892
ENSMUSG00000040387_Klhl32,54.9076879,-1.140701801,0.319459595,-3.57072324,0.000355997,0.005964412,,,19,ENSMUSG00000040387
ENSMUSG00000017747_Ghdc,462.711394,0.484835039,0.135828747,3.569458222,0.00035772,0.005982529,,,19,ENSMUSG00000017747
ENSMUSG00000032092_Mpzl2,1829.104938,-0.592018771,0.165957774,-3.567285564,0.000360698,0.006026846,,,19,ENSMUSG00000032092
ENSMUSG00000057378_Ryr3,88.47858773,-2.464607979,0.691120807,-3.566102994,0.000362329,0.006048589,,,19,ENSMUSG00000057378
ENSMUSG00000027315_Spint1,2051.352715,-0.583010459,0.163596164,-3.563717168,0.00036564,0.006094287,,,19,ENSMUSG00000027315
ENSMUSG00000054280_Prr14l,528.5524531,-1.299845432,0.364775266,-3.563414393,0.000366062,0.006094287,,,19,ENSMUSG00000054280
ENSMUSG00000100131_Gm28439,386.7042901,1.409421167,0.395501506,3.56363034,0.000365761,0.006094287,,,19,ENSMUSG00000100131
ENSMUSG00000018293_Pfn1,3711.022186,-0.539418446,0.151403506,-3.562787025,0.000366938,0.006103342,,,19,ENSMUSG00000018293
ENSMUSG00000006517_Mvd,239.5387127,-0.740353675,0.207852283,-3.561922273,0.000368149,0.006117943,,,19,ENSMUSG00000006517
ENSMUSG00000029304_Spp1,4178.546733,-2.282494344,0.640957729,-3.561068445,0.000369349,0.006132325,,,19,ENSMUSG00000029304
ENSMUSG00000043664_Tmem221,88.86210214,0.960854071,0.269920463,3.559767421,0.000371183,0.006157218,,,19,ENSMUSG00000043664
ENSMUSG00000090733_Rps27,2934.070946,-0.585574591,0.164517216,-3.559351449,0.000371772,0.006161412,,,19,ENSMUSG00000090733
ENSMUSG00000023328_Ache,494.9796265,0.969132303,0.272354837,3.558344376,0.0003732,0.006173935,,,19,ENSMUSG00000023328
ENSMUSG00000032387_Rbpms2,143.2254612,0.932439279,0.262039809,3.558387879,0.000373138,0.006173935,,,19,ENSMUSG00000032387
ENSMUSG00000026450_Chit1,128.2954455,-5.068606701,1.425812974,-3.55488889,0.000378139,0.006250012,,,19,ENSMUSG00000026450
ENSMUSG00000001419_Mef2d,2701.489103,0.629697929,0.177292344,3.551749137,0.00038268,0.006313696,,,19,ENSMUSG00000001419
ENSMUSG00000034906_Ncaph,39.00251433,-1.250502998,0.352058186,-3.551978191,0.000382347,0.006313696,,,19,ENSMUSG00000034906
ENSMUSG00000033880_Lgals3bp,1574.345688,-0.580714634,0.163540838,-3.550884553,0.000383939,0.006321415,,,19,ENSMUSG00000033880
ENSMUSG00000041737_Tmem45b,403.0887009,1.379294173,0.388418739,3.551049512,0.000383698,0.006321415,,,19,ENSMUSG00000041737
ENSMUSG00000051159_Cited1,14.74527625,2.420440285,0.681676064,3.550719195,0.00038418,0.006321415,,,19,ENSMUSG00000051159
ENSMUSG00000031207_Msn,5330.158079,-0.592978745,0.167063578,-3.549419636,0.000386081,0.006347011,,,19,ENSMUSG00000031207
ENSMUSG00000079435_Rpl36a,1702.767017,-0.57770303,0.162805352,-3.54842776,0.000387538,0.006365264,,,19,ENSMUSG00000079435
ENSMUSG00000043629_1700019D03Rik,199.4063319,0.962185487,0.271394734,3.545335873,0.000392113,0.006434649,,,19,ENSMUSG00000043629
ENSMUSG00000026442_Nfasc,90.7315446,1.326877891,0.374365746,3.54433573,0.000393604,0.006447587,,,19,ENSMUSG00000026442
ENSMUSG00000074825_Itpripl1,183.2866039,-0.796816321,0.224800742,-3.544544892,0.000393292,0.006447587,,,19,ENSMUSG00000074825
ENSMUSG00000097415_AU020206,877.6353849,-0.503935692,0.142239609,-3.54286472,0.000395806,0.006477879,,,19,ENSMUSG00000097415
ENSMUSG00000046169_Adamts6,83.54391433,1.098402524,0.310058341,3.542567249,0.000396252,0.006479414,,,19,ENSMUSG00000046169
ENSMUSG00000038916_Soga3,19.30847318,3.678599431,1.039476422,3.538896461,0.000401803,0.006564338,,,19,ENSMUSG00000038916
ENSMUSG00000054046_Klk13,149.4465139,-4.649426297,1.314043203,-3.538259843,0.000402773,0.006571077,,,19,ENSMUSG00000054046
ENSMUSG00000087107_AI662270,98.58147543,-1.237838434,0.349854093,-3.538156217,0.000402932,0.006571077,,,19,ENSMUSG00000087107
ENSMUSG00000108878_Gm49493,165.9662863,-1.204346082,0.340419925,-3.537824888,0.000403438,0.00657349,,,19,ENSMUSG00000108878
ENSMUSG00000002032_Tmem25,255.9855492,1.110140208,0.313818623,3.537521757,0.000403901,0.006575206,,,19,ENSMUSG00000002032
ENSMUSG00000047021_Cfap65,85.55617585,2.366215186,0.668978046,3.537059551,0.000404608,0.00658089,,,19,ENSMUSG00000047021
ENSMUSG00000039208_Metrnl,209.6625198,-0.915878318,0.258998111,-3.536235516,0.000405873,0.006595611,,,19,ENSMUSG00000039208
ENSMUSG00000004105_Angptl2,1812.399902,0.480675465,0.1359431,3.535857756,0.000406453,0.006599209,,,19,ENSMUSG00000004105
ENSMUSG00000003779_Kif20a,62.85746952,-1.191279323,0.337197149,-3.532886702,0.000411049,0.00666792,,,19,ENSMUSG00000003779
ENSMUSG00000031344_Gabrq,15.29928365,-2.537214037,0.718464008,-3.531442089,0.0004133,0.00669853,,,19,ENSMUSG00000031344
ENSMUSG00000036985_Zdhhc9,822.5197444,-0.612181467,0.173370188,-3.531065362,0.000413889,0.006702162,,,19,ENSMUSG00000036985
ENSMUSG00000059230_Defb4,229.9695555,-10.68031994,3.024892962,-3.530809213,0.00041429,0.006702745,,,19,ENSMUSG00000059230
ENSMUSG00000005142_Man2b1,2270.462633,-0.517501524,0.146615752,-3.529644769,0.000416118,0.006726386,,,19,ENSMUSG00000005142
ENSMUSG00000052688_Rab7b,259.2256555,-0.899703787,0.255129513,-3.526459082,0.000421156,0.00680184,,,19,ENSMUSG00000052688
ENSMUSG00000021578_Ccdc127,1198.500088,0.456235727,0.129409858,3.525509835,0.000422668,0.006820265,,,19,ENSMUSG00000021578
ENSMUSG00000117819_Gm50253,259.869393,0.727424007,0.206453669,3.52342494,0.000426008,0.006868113,,,19,ENSMUSG00000117819
ENSMUSG00000024771_Lipk,95.3041094,-1.651381977,0.468889773,-3.521898051,0.000428469,0.006901732,,,19,ENSMUSG00000024771
ENSMUSG00000045362_Tnfrsf26,32.84854478,-1.300405665,0.369346922,-3.520824423,0.000430207,0.006923662,,,19,ENSMUSG00000045362
ENSMUSG00000024642_Tle4,784.2038853,0.52552118,0.149281493,3.520337113,0.000430999,0.006930322,,,19,ENSMUSG00000024642
ENSMUSG00000024277_Mapre2,1019.165403,0.474094543,0.134696571,3.519722444,0.000431999,0.006940324,,,19,ENSMUSG00000024277
ENSMUSG00000106745_Gm43342,53.19995129,1.546682685,0.439499757,3.519188938,0.000432868,0.006948218,,,19,ENSMUSG00000106745
ENSMUSG00000026715_Serpinc1,195.5206894,0.700365226,0.199108194,3.517510809,0.000435615,0.006986193,,,19,ENSMUSG00000026715
ENSMUSG00000019823_Mical1,498.978845,-1.052830186,0.299351165,-3.517040552,0.000436387,0.006986379,,,19,ENSMUSG00000019823
ENSMUSG00000019838_Slc16a10,357.0432295,0.832031661,0.236568738,3.51708205,0.000436319,0.006986379,,,19,ENSMUSG00000019838
ENSMUSG00000054435_Gimap4,329.2990115,-0.598506505,0.170194228,-3.516608717,0.000437098,0.006991658,,,19,ENSMUSG00000054435
ENSMUSG00000021423_Ly86,289.5074823,-0.907362389,0.258090129,-3.515680321,0.000438629,0.00700861,,,19,ENSMUSG00000021423
ENSMUSG00000071019_Sdr16c6,13.39792034,-5.036597106,1.432681522,-3.515503642,0.000438921,0.00700861,,,19,ENSMUSG00000071019
ENSMUSG00000043913_Ccdc60,91.23213666,0.869732907,0.247522896,3.513747294,0.000441833,0.007048982,,,19,ENSMUSG00000043913
ENSMUSG00000006411_Nectin4,563.3567473,-0.780220018,0.222106322,-3.512822189,0.000443374,0.007067429,,,19,ENSMUSG00000006411
ENSMUSG00000034422_Parp14,743.3188822,-0.492461145,0.140232336,-3.511751691,0.000445164,0.007089802,,,19,ENSMUSG00000034422
ENSMUSG00000022619_Mapk8ip2,16.52960199,2.024301478,0.576798453,3.509547341,0.00044887,0.007142636,,,19,ENSMUSG00000022619
ENSMUSG00000008398_Elk3,856.3538066,-0.611544015,0.174358318,-3.507397995,0.000452512,0.007191316,,,19,ENSMUSG00000008398
ENSMUSG00000022724_Riox2,545.9572308,-0.488501016,0.139284792,-3.507209999,0.000452832,0.007191316,,,19,ENSMUSG00000022724
ENSMUSG00000097204_Gm17690,92.98054769,0.974948919,0.277996879,3.507049878,0.000453104,0.007191316,,,19,ENSMUSG00000097204
ENSMUSG00000020897_Aurkb,26.39667091,-1.449485769,0.413389997,-3.50633973,0.000454315,0.007201704,,,19,ENSMUSG00000020897
ENSMUSG00000024331_Dsc2,714.457359,-0.992530944,0.283078323,-3.506206109,0.000454543,0.007201704,,,19,ENSMUSG00000024331
ENSMUSG00000040152_Thbs1,7184.448342,-1.088129834,0.310433408,-3.505195659,0.000456272,0.007222862,,,19,ENSMUSG00000040152
ENSMUSG00000033207_Mamdc2,220.6706504,-1.396040783,0.398315889,-3.504858387,0.00045685,0.007225789,,,19,ENSMUSG00000033207
ENSMUSG00000043461_Sptssb,98.75165739,-5.765656068,1.645415534,-3.504072952,0.0004582,0.007240898,,,19,ENSMUSG00000043461
ENSMUSG00000055782_Abcd2,697.1616414,1.321255788,0.377367519,3.501244068,0.000463092,0.007311909,,,19,ENSMUSG00000055782
ENSMUSG00000044258_Ctla2a,200.8991557,-0.686918912,0.196230192,-3.500577087,0.000464252,0.007323933,,,19,ENSMUSG00000044258
ENSMUSG00000031659_Adcy7,524.8402659,-0.537089073,0.153482306,-3.499354987,0.000466385,0.007351272,,,19,ENSMUSG00000031659
ENSMUSG00000021838_Samd4,812.6647203,1.000213276,0.285985937,3.497421197,0.000469779,0.00739838,,,19,ENSMUSG00000021838
ENSMUSG00000078776_9530053A07Rik,26.35285825,-2.465854284,0.705095068,-3.497194062,0.00047018,0.00739838,,,19,ENSMUSG00000078776
ENSMUSG00000055737_Ghr,1387.565119,0.852615979,0.243887439,3.495940515,0.000472394,0.007426859,,,19,ENSMUSG00000055737
ENSMUSG00000037679_Inf2,1261.120163,-0.963517092,0.275701983,-3.494777523,0.000474457,0.007452913,,,19,ENSMUSG00000037679
ENSMUSG00000020220_Vps13d,1559.669484,0.512428285,0.146733174,3.492245614,0.000478978,0.007492618,,,19,ENSMUSG00000020220
ENSMUSG00000022899_Slc15a2,618.3697478,-1.20102908,0.34389795,-3.492399644,0.000478701,0.007492618,,,19,ENSMUSG00000022899
ENSMUSG00000034792_Gna15,55.57312491,-1.441243216,0.412701238,-3.492219269,0.000479025,0.007492618,,,19,ENSMUSG00000034792
ENSMUSG00000037321_Tap1,566.9510201,-0.505608809,0.144762508,-3.492677874,0.000478203,0.007492618,,,19,ENSMUSG00000037321
ENSMUSG00000066440_Zfyve26,1137.270727,0.526373031,0.150703213,3.492779085,0.000478022,0.007492618,,,19,ENSMUSG00000066440
ENSMUSG00000028702_Rad54l,54.03225778,-0.991800037,0.284025972,-3.491934305,0.000479536,0.007494232,,,19,ENSMUSG00000028702
ENSMUSG00000049709_Nlrp10,64.4568353,-3.102027679,0.888467312,-3.491437035,0.00048043,0.007501812,,,19,ENSMUSG00000049709
ENSMUSG00000037573_Tob1,1686.28591,0.747245132,0.214321173,3.486567007,0.000489263,0.007633248,,,19,ENSMUSG00000037573
ENSMUSG00000001517_Foxm1,67.62945793,-1.190291756,0.341534435,-3.485129561,0.000491899,0.007649126,,,19,ENSMUSG00000001517
ENSMUSG00000049517_Rps23,3804.520021,-0.478291979,0.137224569,-3.485468985,0.000491275,0.007649126,,,19,ENSMUSG00000049517
ENSMUSG00000058715_Fcer1g,350.4463262,-0.887738385,0.254693153,-3.485521199,0.000491179,0.007649126,,,19,ENSMUSG00000058715
ENSMUSG00000089942_Pira2,48.69508344,-1.336894792,0.383602608,-3.485103502,0.000491947,0.007649126,,,19,ENSMUSG00000089942
ENSMUSG00000078234_Klhdc7a,920.3305114,0.619693916,0.177844908,3.484462509,0.000493127,0.007660984,,,19,ENSMUSG00000078234
ENSMUSG00000016534_Lamp2,7648.838228,-0.471582845,0.135383598,-3.483308547,0.000495257,0.007687581,,,19,ENSMUSG00000016534
ENSMUSG00000048120_Entpd1,685.0720622,-0.608623801,0.174758739,-3.482651596,0.000496474,0.007693462,,,19,ENSMUSG00000048120
ENSMUSG00000056201_Cfl1,6099.218829,-0.515552375,0.148025102,-3.482871278,0.000496067,0.007693462,,,19,ENSMUSG00000056201
ENSMUSG00000030431_Tmem238,305.6593625,-0.643094677,0.184731779,-3.481234684,0.000499108,0.007727757,,,19,ENSMUSG00000030431
ENSMUSG00000027377_Mall,486.5963045,-0.77815973,0.223559356,-3.480774602,0.000499966,0.00772801,,,19,ENSMUSG00000027377
ENSMUSG00000060802_B2m,11963.74962,-0.517180961,0.148578696,-3.480855435,0.000499815,0.00772801,,,19,ENSMUSG00000060802
ENSMUSG00000036067_Slc2a6,159.1048624,0.812145499,0.233436021,3.479092449,0.000503115,0.007770143,,,19,ENSMUSG00000036067
ENSMUSG00000023886_Smoc2,5757.525538,0.763048188,0.219413009,3.477679798,0.000505774,0.007795128,,,19,ENSMUSG00000023886
ENSMUSG00000045330_4933402E13Rik,11.39426545,-2.330078494,0.670033238,-3.477556578,0.000506006,0.007795128,,,19,ENSMUSG00000045330
ENSMUSG00000079419_Ms4a6c,183.4115589,-1.01497968,0.291862196,-3.477598991,0.000505926,0.007795128,,,19,ENSMUSG00000079419
ENSMUSG00000006154_Eps8l1,699.3716494,-0.764461418,0.219860242,-3.47703346,0.000506995,0.007803806,,,19,ENSMUSG00000006154
ENSMUSG00000040181_Fmo1,810.5463589,0.809156998,0.232745274,3.476577572,0.000507857,0.007805907,,,19,ENSMUSG00000040181
ENSMUSG00000051675_Trim32,828.1596309,-0.76621126,0.220396544,-3.476512146,0.000507981,0.007805907,,,19,ENSMUSG00000051675
ENSMUSG00000103144_Pcdhga1,121.9001736,1.094717189,0.314977784,3.475537787,0.00050983,0.007827769,,,19,ENSMUSG00000103144
ENSMUSG00000002265_Peg3,1145.220848,0.779527222,0.224437544,3.473247865,0.0005142,0.00788827,,,19,ENSMUSG00000002265
ENSMUSG00000056054_S100a8,26.55394226,-2.799006034,0.807835455,-3.464821973,0.000530583,0.008126143,,,19,ENSMUSG00000056054
ENSMUSG00000058354_Krt6a,52.23493867,-5.126144245,1.479484577,-3.46481763,0.000530591,0.008126143,,,19,ENSMUSG00000058354
ENSMUSG00000059089_Fcgr4,29.34859049,-1.370502522,0.395634581,-3.464061504,0.000532085,0.008135449,,,19,ENSMUSG00000059089
ENSMUSG00000071637_Cebpd,521.1516305,-1.119991959,0.323296785,-3.464284241,0.000531644,0.008135449,,,19,ENSMUSG00000071637
ENSMUSG00000038156_Spon1,3180.005469,-1.174575269,0.339099033,-3.463811906,0.000532579,0.008136226,,,19,ENSMUSG00000038156
ENSMUSG00000005802_Slc30a4,1132.112119,-0.489123004,0.141367359,-3.45994299,0.00054029,0.008247166,,,19,ENSMUSG00000005802
ENSMUSG00000023026_Dip2b,792.166227,-0.515735683,0.149070919,-3.459666625,0.000540845,0.008248778,,,19,ENSMUSG00000023026
ENSMUSG00000022146_Osmr,554.1800272,-0.837753963,0.242314278,-3.457303336,0.00054561,0.008314558,,,19,ENSMUSG00000022146
ENSMUSG00000030077_Chl1,142.5965161,-2.265837755,0.655496812,-3.456672428,0.000546889,0.008327136,,,19,ENSMUSG00000030077
ENSMUSG00000055541_Lair1,171.8650256,-0.986009528,0.285376536,-3.455117724,0.000550053,0.008368364,,,19,ENSMUSG00000055541
ENSMUSG00000070306_Ccdc153,38.27526844,3.818902977,1.106032181,3.452795537,0.000554809,0.008433745,,,19,ENSMUSG00000070306
ENSMUSG00000056069_Otulinl,168.0397657,-1.077518842,0.31218606,-3.451527726,0.000557422,0.008466459,,,19,ENSMUSG00000056069
ENSMUSG00000019102_Aldh3a1,1304.018229,-4.864182009,1.409448126,-3.451125246,0.000558254,0.008472088,,,19,ENSMUSG00000019102
ENSMUSG00000047415_Gpr68,63.33522181,-1.211887308,0.35145115,-3.448238274,0.000564256,0.008556097,,,19,ENSMUSG00000047415
ENSMUSG00000020737_Jpt1,1287.477397,-0.603824606,0.175141627,-3.447636161,0.000565515,0.008566681,,,19,ENSMUSG00000020737
ENSMUSG00000021306_Gpr137b,1477.178537,-0.898480174,0.260633971,-3.447287283,0.000566246,0.008566681,,,19,ENSMUSG00000021306
ENSMUSG00000026824_Kcnj3,34.41734718,1.780949245,0.516650222,3.447108253,0.000566621,0.008566681,,,19,ENSMUSG00000026824
ENSMUSG00000090071_Cdk5r2,7.963972316,3.176034442,0.921387277,3.447013564,0.00056682,0.008566681,,,19,ENSMUSG00000090071
ENSMUSG00000025777_Gdap1,140.6920519,1.709181978,0.496033213,3.445700679,0.000569581,0.008601327,,,19,ENSMUSG00000025777
ENSMUSG00000027134_Lpcat4,151.9817123,-1.021426217,0.296505548,-3.444880619,0.000571312,0.008620375,,,19,ENSMUSG00000027134
ENSMUSG00000037824_Tspan14,877.8670212,-0.48602367,0.141110354,-3.444280702,0.000572581,0.008632433,,,19,ENSMUSG00000037824
ENSMUSG00000034684_Sema3f,1174.749367,-0.760990189,0.221255066,-3.439424929,0.000582951,0.008781573,,,19,ENSMUSG00000034684
ENSMUSG00000029442_Wdr66,51.26339948,1.845910699,0.536804212,3.438703827,0.000584506,0.008797778,,,19,ENSMUSG00000029442
ENSMUSG00000070427_Il18bp,132.4463468,-0.829299244,0.241238764,-3.437669923,0.000586742,0.008824203,,,19,ENSMUSG00000070427
ENSMUSG00000002699_Lcp2,146.0092336,-0.816449899,0.237669332,-3.43523454,0.000592041,0.008896606,,,19,ENSMUSG00000002699
ENSMUSG00000005373_Mlxipl,824.315709,1.402312209,0.408522525,3.432643547,0.000597727,0.008974708,,,19,ENSMUSG00000005373
ENSMUSG00000039257_Vstm2b,132.973944,1.535307387,0.447491808,3.430917302,0.000601544,0.009024634,,,19,ENSMUSG00000039257
ENSMUSG00000032420_Nt5e,893.8437645,0.578305961,0.168580875,3.430436349,0.000602611,0.009033267,,,19,ENSMUSG00000032420
ENSMUSG00000041440_Gk5,248.2131979,-1.123569906,0.327698452,-3.428670168,0.000606546,0.009084835,,,19,ENSMUSG00000041440
ENSMUSG00000026922_Agpat2,1647.618833,0.847098846,0.247132333,3.427713544,0.000608687,0.009104225,,,19,ENSMUSG00000026922
ENSMUSG00000031101_Sash3,118.3698982,-0.837606745,0.244367721,-3.427648883,0.000608832,0.009104225,,,19,ENSMUSG00000031101
ENSMUSG00000039264_Gimap3,116.9328111,-0.856592266,0.249967441,-3.426815355,0.000610704,0.009124785,,,19,ENSMUSG00000039264
ENSMUSG00000019841_Rev3l,1061.369071,0.454434748,0.13262864,3.426369671,0.000611707,0.009130064,,,19,ENSMUSG00000019841
ENSMUSG00000028495_Rps6,6384.150875,-0.4253665,0.12415276,-3.426154197,0.000612193,0.009130064,,,19,ENSMUSG00000028495
ENSMUSG00000079013_Serpina3j,8.225169415,2.808338631,0.819714473,3.425996152,0.000612549,0.009130064,,,19,ENSMUSG00000079013
ENSMUSG00000027698_Nceh1,2901.358956,-0.466036959,0.136041763,-3.425690384,0.000613239,0.00913212,,,19,ENSMUSG00000027698
ENSMUSG00000032737_Inppl1,3208.386041,0.510698317,0.149087478,3.425494365,0.000613682,0.00913212,,,19,ENSMUSG00000032737
ENSMUSG00000030861_Acadsb,2094.986288,0.430906692,0.125935957,3.421633512,0.000622462,0.0092407,,,19,ENSMUSG00000030861
ENSMUSG00000044339_Alkbh2,90.13040554,-0.733922134,0.214495387,-3.421621998,0.000622488,0.0092407,,,19,ENSMUSG00000044339
ENSMUSG00000083012_Fam220a,63.36997867,1.55039061,0.45306006,3.422042123,0.000621527,0.0092407,,,19,ENSMUSG00000083012
ENSMUSG00000024757_Slc22a19,91.70279824,-1.88107222,0.549804485,-3.421347538,0.000623117,0.009242559,,,19,ENSMUSG00000024757
ENSMUSG00000072235_Tuba1a,3904.939177,-0.534738009,0.156352817,-3.420072755,0.000626044,0.009271003,,,19,ENSMUSG00000072235
ENSMUSG00000074433_Lce3e,182.3011747,-10.34525324,3.024856836,-3.420080287,0.000626027,0.009271003,,,19,ENSMUSG00000074433
ENSMUSG00000030319_Cand2,880.5683068,1.066068066,0.311730062,3.419843631,0.000626571,0.009271338,,,19,ENSMUSG00000030319
ENSMUSG00000052534_Pbx1,2004.622568,-0.608709252,0.178220811,-3.415477954,0.000636702,0.009413652,,,19,ENSMUSG00000052534
ENSMUSG00000054708_Ankrd24,832.6834305,0.611076211,0.178967294,3.41445746,0.000639092,0.009433795,,,19,ENSMUSG00000054708
ENSMUSG00000095304_Plac9a,36.50187473,-1.338660017,0.392040932,-3.414592478,0.000638775,0.009433795,,,19,ENSMUSG00000095304
ENSMUSG00000024998_Plce1,445.1313701,-0.945131068,0.276855121,-3.413811043,0.00064061,0.009441027,,,19,ENSMUSG00000024998
ENSMUSG00000041991_Hrnr,179.5812827,-10.32642021,3.024751642,-3.413972926,0.000640229,0.009441027,,,19,ENSMUSG00000041991
ENSMUSG00000050370_Ch25h,38.32461027,-1.340001153,0.392672372,-3.412517023,0.000643659,0.009478357,,,19,ENSMUSG00000050370
ENSMUSG00000026683_Nuf2,24.59121669,-1.339779324,0.392751868,-3.411261494,0.00064663,0.009514483,,,19,ENSMUSG00000026683
ENSMUSG00000036814_Slc6a20a,143.0015235,1.707760449,0.500680089,3.410881493,0.000647532,0.009520124,,,19,ENSMUSG00000036814
ENSMUSG00000037946_Fgd3,161.6595317,-0.764380283,0.22419621,-3.409425532,0.000650998,0.009563428,,,19,ENSMUSG00000037946
ENSMUSG00000031372_Trex2,85.56723586,-6.918904445,2.030638874,-3.407254994,0.000656198,0.009632104,,,19,ENSMUSG00000031372
ENSMUSG00000017639_Rab11fip4,905.5276323,0.79644858,0.23379114,3.406667079,0.000657613,0.009645164,,,19,ENSMUSG00000017639
ENSMUSG00000023224_Serping1,3400.664239,-0.549043019,0.161230141,-3.405337334,0.000660824,0.009669088,,,19,ENSMUSG00000023224
ENSMUSG00000038007_Acer2,363.2754829,-0.833135716,0.244639152,-3.405569832,0.000660261,0.009669088,,,19,ENSMUSG00000038007
ENSMUSG00000073433_Arhgdig,308.9388347,-0.597295511,0.175390178,-3.405524282,0.000660371,0.009669088,,,19,ENSMUSG00000073433
ENSMUSG00000027584_Oprl1,7.077180101,3.65383138,1.073102513,3.404922957,0.000661827,0.009676062,,,19,ENSMUSG00000027584
ENSMUSG00000029378_Areg,138.7834992,-2.062495227,0.605846111,-3.40432197,0.000663285,0.009689663,,,19,ENSMUSG00000029378
ENSMUSG00000031264_Btk,70.46820146,-0.986492947,0.290044601,-3.401176733,0.000670964,0.009794053,,,19,ENSMUSG00000031264
ENSMUSG00000042031_Lce3b,174.4596028,-10.28188132,3.024876216,-3.399108122,0.00067606,0.009860593,,,19,ENSMUSG00000042031
ENSMUSG00000026355_Mcm6,575.1373583,-0.467094217,0.137475352,-3.397657901,0.000679654,0.009905141,,,19,ENSMUSG00000026355
ENSMUSG00000034317_Trim59,42.89263338,-1.14569824,0.337274881,-3.39692727,0.000681471,0.009923749,,,19,ENSMUSG00000034317
ENSMUSG00000028040_Efna4,131.1980151,-0.80085524,0.235796487,-3.39638325,0.000682827,0.00992775,,,19,ENSMUSG00000028040
ENSMUSG00000058441_Panx2,18.46986154,2.067119799,0.608592301,3.396559232,0.000682388,0.00992775,,,19,ENSMUSG00000058441
ENSMUSG00000049154_Fam183b,9.988923303,3.481512413,1.025155075,3.396083674,0.000683575,0.00993076,,,19,ENSMUSG00000049154
ENSMUSG00000054325_Lce3a,173.0568025,-10.27024265,3.024881778,-3.395254229,0.000685649,0.00994516,,,19,ENSMUSG00000054325
ENSMUSG00000095463_Entpd4,1690.57632,0.708951184,0.208805827,3.39526532,0.000685621,0.00994516,,,19,ENSMUSG00000095463
ENSMUSG00000032012_Nectin1,159.2669998,-1.026368401,0.302393639,-3.394146799,0.000688428,0.009977584,,,19,ENSMUSG00000032012
ENSMUSG00000061353_Cxcl12,3335.611746,0.777966507,0.229247966,3.393559042,0.000689907,0.009991135,,,19,ENSMUSG00000061353
ENSMUSG00000023034_Nr4a1,980.7050691,1.133530347,0.334291801,3.390841006,0.000696785,0.01006255,,,19,ENSMUSG00000023034
ENSMUSG00000030830_Itgal,220.6397208,-0.62037686,0.182961833,-3.390744664,0.00069703,0.01006255,,,19,ENSMUSG00000030830
ENSMUSG00000059555_Tor4a,795.7168535,-0.389671098,0.114916589,-3.390903795,0.000696625,0.01006255,,,19,ENSMUSG00000059555
ENSMUSG00000079197_Psme2,1149.368361,-0.555388397,0.16378234,-3.391015162,0.000696342,0.01006255,,,19,ENSMUSG00000079197
ENSMUSG00000035498_Cdcp1,766.9944981,-0.701572824,0.206929033,-3.390403052,0.000697899,0.010067184,,,19,ENSMUSG00000035498
ENSMUSG00000038721_Hoxb7,34.89224386,-1.69810366,0.501013069,-3.389340047,0.000700611,0.010098363,,,19,ENSMUSG00000038721
ENSMUSG00000061477_Rps7,5222.307401,-0.445378559,0.131467286,-3.387751996,0.00070468,0.010149043,,,19,ENSMUSG00000061477
ENSMUSG00000079625_Tm4sf19,6.283978681,-2.913223055,0.860072041,-3.38718493,0.000706138,0.010162074,,,19,ENSMUSG00000079625
ENSMUSG00000006390_Elovl1,1101.709029,-0.702596168,0.207446825,-3.386873565,0.00070694,0.010165647,,,19,ENSMUSG00000006390
ENSMUSG00000108950_9130015G15Rik,7.303379259,5.181885365,1.530331053,3.386120509,0.000708882,0.010185609,,,19,ENSMUSG00000108950
ENSMUSG00000027347_Rasgrp1,115.199577,-0.988477109,0.292006309,-3.385122443,0.000711465,0.010214725,,,19,ENSMUSG00000027347
ENSMUSG00000005465_Il27ra,54.53182296,-1.106662559,0.326954444,-3.384760721,0.000712403,0.010215811,,,19,ENSMUSG00000005465
ENSMUSG00000023909_Paqr4,602.1324214,-0.677954381,0.200311786,-3.384495716,0.000713091,0.010215811,,,19,ENSMUSG00000023909
ENSMUSG00000031425_Plp1,182.435083,0.73703308,0.217770406,3.384450141,0.00071321,0.010215811,,,19,ENSMUSG00000031425
ENSMUSG00000013033_Adgrl1,974.9245384,0.884743287,0.261584882,3.382241663,0.000718969,0.010290274,,,19,ENSMUSG00000013033
ENSMUSG00000008140_Emc10,1590.562659,-0.62407924,0.184681853,-3.379212572,0.000726938,0.010396229,,,19,ENSMUSG00000008140
ENSMUSG00000034282_Evpl,960.4250074,-1.328726021,0.393486033,-3.376806063,0.000733327,0.010479448,,,19,ENSMUSG00000034282
ENSMUSG00000026928_Card9,101.1672911,-0.821869389,0.243464928,-3.375719839,0.000736228,0.010512724,,,19,ENSMUSG00000026928
