,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,
ENSMUSG00000079293_Clec7a,427.6568295,-2.508287244,0.281157061,-8.921302687,4.61E-19,1.97E-16,,,19,ENSMUSG00000079293
ENSMUSG00000096793_Gm3002,45.07100093,-5.766704089,0.650492766,-8.865131771,7.64E-19,3.19E-16,,,19,ENSMUSG00000096793
ENSMUSG00000047250_Ptgs1,598.3137742,-1.878053565,0.212667,-8.830959032,1.04E-18,4.23E-16,,,19,ENSMUSG00000047250
ENSMUSG00000013611_Snx31,241.9926214,3.115376762,0.355054034,8.774373645,1.72E-18,6.71E-16,,,19,ENSMUSG00000013611
ENSMUSG00000039070_Cpa4,308.1373542,-2.400723518,0.273543211,-8.776395919,1.69E-18,6.71E-16,,,19,ENSMUSG00000039070
ENSMUSG00000007891_Ctsd,28989.28293,-0.999283983,0.114494526,-8.727788277,2.60E-18,9.94E-16,,,19,ENSMUSG00000007891
ENSMUSG00000028755_Cda,91.09814811,-2.829785184,0.325220083,-8.701139109,3.29E-18,1.23E-15,,,19,ENSMUSG00000028755
ENSMUSG00000026343_Gpr39,35.42609092,-4.085302739,0.470069423,-8.690849771,3.60E-18,1.32E-15,,,19,ENSMUSG00000026343
ENSMUSG00000112023_Lilr4b,521.2772445,-2.177384831,0.251322301,-8.663715175,4.57E-18,1.64E-15,,,19,ENSMUSG00000112023
ENSMUSG00000029188_Slc34a2,593.5277088,-3.912321904,0.454297452,-8.611806848,7.19E-18,2.54E-15,,,19,ENSMUSG00000029188
ENSMUSG00000058427_Cxcl2,30.81905663,-4.576091596,0.535448782,-8.546273239,1.27E-17,4.40E-15,,,19,ENSMUSG00000058427
ENSMUSG00000024665_Fads2,715.8221936,1.382126187,0.162129094,8.524849876,1.53E-17,5.20E-15,,,19,ENSMUSG00000024665
ENSMUSG00000063652_Slc22a21,211.3421743,-2.144296348,0.255387205,-8.396255986,4.61E-17,1.54E-14,,,19,ENSMUSG00000063652
ENSMUSG00000020467_Efemp1,1734.867483,-1.20400344,0.145309297,-8.285797696,1.17E-16,3.85E-14,,,19,ENSMUSG00000020467
ENSMUSG00000027350_Chgb,215.0282178,3.304878975,0.399413783,8.274323801,1.29E-16,4.16E-14,,,19,ENSMUSG00000027350
ENSMUSG00000026070_Il18r1,1674.839331,-1.331223669,0.161206981,-8.257853744,1.48E-16,4.70E-14,,,19,ENSMUSG00000026070
ENSMUSG00000035407_Kank4,407.5963398,-1.777734525,0.217192265,-8.185072913,2.72E-16,8.47E-14,,,19,ENSMUSG00000035407
ENSMUSG00000023236_Scg5,6360.178253,-1.915209272,0.235631736,-8.127976754,4.37E-16,1.34E-13,,,19,ENSMUSG00000023236
ENSMUSG00000033578_Tmem35a,869.5286785,-2.332956335,0.28715972,-8.12424644,4.50E-16,1.36E-13,,,19,ENSMUSG00000033578
ENSMUSG00000027356_Fermt1,170.2411164,-2.215791538,0.27336489,-8.105618613,5.25E-16,1.55E-13,,,19,ENSMUSG00000027356
ENSMUSG00000025934_Gsta3,1584.403231,-1.413203184,0.174553093,-8.096122257,5.67E-16,1.65E-13,,,19,ENSMUSG00000025934
ENSMUSG00000022438_Parvb,933.8409242,1.141493998,0.141786655,8.050785875,8.23E-16,2.36E-13,,,19,ENSMUSG00000022438
ENSMUSG00000042265_Trem1,43.43226538,-4.040983977,0.505416832,-7.995349032,1.29E-15,3.65E-13,,,19,ENSMUSG00000042265
ENSMUSG00000028148_Them5,264.6630378,-6.114568882,0.765494036,-7.987742024,1.37E-15,3.82E-13,,,19,ENSMUSG00000028148
ENSMUSG00000093985_Gm10406,31.97589289,-4.277169946,0.537838693,-7.952514384,1.83E-15,5.01E-13,,,19,ENSMUSG00000093985
ENSMUSG00000044496_2510039O18Rik,1339.53101,-0.813674699,0.102596874,-7.930794235,2.18E-15,5.88E-13,,,19,ENSMUSG00000044496
ENSMUSG00000062593_Gm49339,246.6273279,-2.653503204,0.334850188,-7.924448889,2.29E-15,6.10E-13,,,19,ENSMUSG00000062593
ENSMUSG00000030144_Clec4d,50.81923635,-4.406874827,0.556291519,-7.92188031,2.34E-15,6.14E-13,,,19,ENSMUSG00000030144
ENSMUSG00000022656_Nectin3,272.9649998,-2.005776142,0.255307487,-7.856315413,3.96E-15,1.02E-12,,,19,ENSMUSG00000022656
ENSMUSG00000075316_Scn9a,58.24391945,4.543798266,0.579988699,7.834287594,4.72E-15,1.20E-12,,,19,ENSMUSG00000075316
ENSMUSG00000020904_Cfap52,216.1978659,1.834122964,0.234676097,7.815550819,5.47E-15,1.38E-12,,,19,ENSMUSG00000020904
ENSMUSG00000018927_Ccl6,1476.226974,-2.410779258,0.308782033,-7.80738191,5.84E-15,1.45E-12,,,19,ENSMUSG00000018927
ENSMUSG00000055044_Pdlim1,1499.162573,-1.415631352,0.181611626,-7.794827792,6.45E-15,1.58E-12,,,19,ENSMUSG00000055044
