ros
FIS1
MFF
DRP1
MID49
MID51
MFN1
MFN2
OPA1
MFN2
POMC
AGRP
MFN1
SOD2
GPX-1
PINK1
OPA1
PPARGC1A
PINK1
MFN2
USP30
USP15
AMBRA1
USP8
PRKN
PARK2
OPTN
TBK1
SQSTM1
CALCOCO2
NBR1
C77254
GABARAP
SRC
ULK1
FUNDC1
CSNK2A1
PGAM5
BCL2L1
BNIP3
BNIP3L
RHOT2
BECN1
TOMM7
ATG5
ATG9B
TFEB
MITF
TFE3
TAX1BP1
TBC1D17
RAB7
FIS1
EIF2AK3
ATF4
HIF1A
E2F1
RELA
TRP53
HRAS
SP1
MAPK10
JUN
JUNC
FOXO3
CITED2
MFN2
UBA52
NFE2L2
GPX1
SOD2
PRDX3
PRDX5
NRF1
MEF2
GPX2
