,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,ensembl_id
ENSMUSG00000028965_Tnfrsf9,1218.279865,0.785064749,0.251021075,3.127485406,0.001763086,0.020700475,,ENSMUSG00000028965
ENSMUSG00000037447_Arid5a,398.2942689,0.770701249,0.246622122,3.125028859,0.001777876,0.020834167,,ENSMUSG00000037447
ENSMUSG00000015305_Sash1,4658.260717,0.707824134,0.226633798,3.123206422,0.001788922,0.02093689,,ENSMUSG00000015305
ENSMUSG00000070034_Sp110,217.7469487,0.609774159,0.195542314,3.118374463,0.001818516,0.021229122,,ENSMUSG00000070034
ENSMUSG00000032363_Adamts7,125.7615152,0.851794704,0.273687721,3.112286882,0.00185644,0.021603173,,ENSMUSG00000032363
ENSMUSG00000031119_Gpc4,739.9773841,0.761225732,0.244642447,3.11158485,0.00186086,0.021613517,,ENSMUSG00000031119
ENSMUSG00000040950_Mgl2,400.0911189,0.820180069,0.263871905,3.108250838,0.001881983,0.021762498,,ENSMUSG00000040950
ENSMUSG00000026979_Psd4,552.7248231,0.7244866,0.233588069,3.101556532,0.001925061,0.022176849,,ENSMUSG00000026979
ENSMUSG00000053702_Nebl,1224.618871,0.702645545,0.226896271,3.096769915,0.001956417,0.022464458,,ENSMUSG00000053702
ENSMUSG00000033967_Rnf225,150.0687632,1.284245949,0.415083723,3.093944371,0.001975145,0.022597876,,ENSMUSG00000033967
ENSMUSG00000034854_Mfsd12,281.2101262,0.720962969,0.233543515,3.087060544,0.002021464,0.022988035,,ENSMUSG00000034854
ENSMUSG00000033487_Fndc3a,3088.157851,0.710095145,0.230722003,3.07770882,0.002085986,0.023528849,,ENSMUSG00000033487
ENSMUSG00000020829_Slc46a1,328.0390462,0.720969831,0.234478887,3.074775052,0.002106614,0.023659785,,ENSMUSG00000020829
ENSMUSG00000052776_Oas1a,244.7056331,0.74417685,0.242291122,3.071416089,0.00213046,0.023898377,,ENSMUSG00000052776
ENSMUSG00000026600_Soat1,787.2885319,0.753501958,0.245785232,3.065692562,0.002171665,0.024226354,,ENSMUSG00000026600
ENSMUSG00000044447_Dock5,687.8616252,0.841597563,0.274675339,3.063972055,0.002184193,0.024322825,,ENSMUSG00000044447
ENSMUSG00000017493_Igfbp4,2410.5052,0.614789709,0.200846965,3.060985801,0.002206096,0.024492462,,ENSMUSG00000017493
ENSMUSG00000028378_Ptgr1,359.6828167,2.024668337,0.663054128,3.053549103,0.002261517,0.024986906,,ENSMUSG00000028378
ENSMUSG00000012350_Ehf,2189.392748,1.058611685,0.3471872,3.0491092,0.00229521,0.02522259,,ENSMUSG00000012350
ENSMUSG00000070462_Tlnrd1,874.3532832,0.582617528,0.191283365,3.045834785,0.002320353,0.025437995,,ENSMUSG00000070462
ENSMUSG00000038943_Prc1,115.6262495,0.929794222,0.305383679,3.044675559,0.002329314,0.025475402,,ENSMUSG00000038943
ENSMUSG00000051236_Msrb3,2070.998254,0.583661997,0.191715388,3.044419144,0.002331301,0.025481951,,ENSMUSG00000051236
ENSMUSG00000027224_Duoxa1,107.0547017,1.060263262,0.348547111,3.041951082,0.002350501,0.025630789,,ENSMUSG00000027224
ENSMUSG00000018648_Dusp14,397.948447,0.826038197,0.27183977,3.038695173,0.002376051,0.025878667,,ENSMUSG00000018648
ENSMUSG00000089669_Tnfsf13,141.4469129,0.882184017,0.290337336,3.038479405,0.002377754,0.025881855,,ENSMUSG00000089669
ENSMUSG00000020758_Itgb4,873.1121598,0.608612283,0.201354458,3.022591549,0.002506203,0.026905242,,ENSMUSG00000020758
