"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"Il1f9",57.00465596,-7.559343585,1.09146659,-6.925858888,4.33e-12,6.37e-10,"sig"
"Tmprss2",3269.578357,-1.216177853,0.175812509,-6.917470551,4.6e-12,6.7e-10,"sig"
"Ccn5",152.4093844,-2.709448521,0.392317844,-6.906258688,4.98e-12,7.14e-10,"sig"
"AU021092",5572.316543,-1.319903011,0.19109253,-6.907140797,4.95e-12,7.14e-10,"sig"
"H2-D1",13982.06571,-0.889210391,0.128962582,-6.895103832,5.38e-12,7.66e-10,"sig"
"Sla",780.3538423,-1.834087445,0.266250755,-6.888571812,5.64e-12,7.96e-10,"sig"
"Ptprn2",83.12730543,3.120721427,0.453606869,6.879793136,5.99e-12,8.4e-10,"sig"
"Pctp",498.9343288,-1.026686692,0.149493013,-6.867790467,6.52e-12,9.07e-10,"sig"
"Gm266",54.92416388,-4.222667179,0.616048259,-6.854442197,7.16e-12,9.8e-10,"sig"
"St3gal1",1719.964107,-1.484093079,0.216544849,-6.853513645,7.21e-12,9.8e-10,"sig"
"Tgm3",1362.769442,-9.195128373,1.341433466,-6.854703275,7.15e-12,9.8e-10,"sig"
"Serpinb10",61.08589624,-4.054719981,0.59371546,-6.829399359,8.53e-12,1.15e-09,"sig"
"Ptgdr",97.76723911,-5.011145139,0.736494997,-6.804045046,1.02e-11,1.36e-09,"sig"
"2610042L04Rik",22.19125257,-6.59523579,0.97160557,-6.787976516,1.14e-11,1.51e-09,"sig"
"Trarg1",307.0388819,1.603462704,0.236281771,6.786231116,1.15e-11,1.52e-09,"sig"
"Il7r",203.9406679,-1.731979921,0.256357991,-6.756098819,1.42e-11,1.85e-09,"sig"
"Emb",2556.600159,-0.714792789,0.105808194,-6.755552313,1.42e-11,1.85e-09,"sig"
"Tcerg1l",29.21992216,3.32897044,0.493129382,6.750703902,1.47e-11,1.9e-09,"sig"
"Timp1",134.284623,-2.458945481,0.364372911,-6.748431084,1.49e-11,1.92e-09,"sig"
"Cytip",262.5002997,-1.588005936,0.235398935,-6.746020049,1.52e-11,1.94e-09,"sig"
"Stra6l",23.35237557,-3.859405302,0.574626793,-6.716368521,1.86e-11,2.36e-09,"sig"
"Gm3468",49.23068993,-2.708114439,0.404573314,-6.693754492,2.18e-11,2.74e-09,"sig"
"Cdkn1a",1696.661955,-1.192747102,0.178611474,-6.677886227,2.42e-11,3.03e-09,"sig"
"Cpxm2",760.9823802,-1.191539202,0.178886668,-6.66086084,2.72e-11,3.38e-09,"sig"
"Pak3",302.1845661,-2.101529524,0.316107503,-6.648148194,2.97e-11,3.66e-09,"sig"
"Plac8",288.501862,-1.333148994,0.200955766,-6.634042017,3.27e-11,4e-09,"sig"
"Lama2",782.624472,0.968264852,0.145983128,6.632717514,3.3e-11,4.01e-09,"sig"
"Krt8",8738.71883,-1.321851884,0.200044501,-6.607789148,3.9e-11,4.71e-09,"sig"
"Man1c1",600.68964,0.78489869,0.11901524,6.594942701,4.25e-11,5.11e-09,"sig"
"Lor",1321.230624,-9.167122571,1.391265485,-6.5890534,4.43e-11,5.28e-09,"sig"
"Mdga1",206.3293897,1.427706937,0.216737035,6.587277246,4.48e-11,5.31e-09,"sig"
"Resp18",127.2259026,3.150394831,0.479211439,6.574122763,4.89e-11,5.76e-09,"sig"
"Hexa",4981.740374,-1.072752091,0.163582115,-6.5578813,5.46e-11,6.38e-09,"sig"
"Syt7",190.5767961,2.09477133,0.320259552,6.540855115,6.12e-11,7.11e-09,"sig"
"Lhx2",39.21160811,-4.79097742,0.735399142,-6.514798763,7.28e-11,8.39e-09,"sig"
"Cd300lf",34.66081434,-3.476082283,0.533621011,-6.514140586,7.31e-11,8.39e-09,"sig"
"Cd84",245.9404608,-1.70115062,0.261544791,-6.504242016,7.81e-11,8.91e-09,"sig"
"Slc15a3",173.57588,-1.623210902,0.249805819,-6.497890682,8.15e-11,9.23e-09,"sig"
"2300002M23Rik",181.1388861,-7.06583837,1.088546441,-6.491076637,8.52e-11,9.6e-09,"sig"
"Mki67",236.4360905,-1.685797168,0.259759594,-6.489836019,8.59e-11,9.61e-09,"sig"
"Scn5a",111.550264,-2.844113741,0.438293498,-6.489062135,8.64e-11,9.61e-09,"sig"
"Cd300lb",68.44907578,-1.735511664,0.267901509,-6.478170545,9.28e-11,1.03e-08,"sig"
"Gm8206",28.15468885,-4.45605276,0.68822264,-6.474725617,9.5e-11,1.04e-08,"sig"
"Disp2",47.50168048,2.308454837,0.357811113,6.451601853,1.11e-10,1.21e-08,"sig"
"Tyrobp",506.5513837,-1.588844179,0.246679862,-6.440915622,1.19e-10,1.29e-08,"sig"
"Gm3248",29.55647336,-3.474879463,0.539609478,-6.439619024,1.2e-10,1.29e-08,"sig"
"Gm49542",31.55295837,2.987954746,0.465900361,6.413291334,1.42e-10,1.53e-08,"sig"
"Krtdap",1108.76816,-10.26847736,1.604038738,-6.401639261,1.54e-10,1.64e-08,"sig"
"Mgat5b",20.95516674,3.995253393,0.624610492,6.396391744,1.59e-10,1.69e-08,"sig"
"Crocc",284.9081426,1.483696196,0.232061386,6.393550536,1.62e-10,1.71e-08,"sig"
"Pck1",2029.306681,2.036980338,0.31892097,6.387100658,1.69e-10,1.77e-08,"sig"
"Ccl3",50.23910058,-3.797504622,0.594642483,-6.386197981,1.7e-10,1.77e-08,"sig"
"Hlf",255.7148012,1.533572612,0.240569173,6.374767765,1.83e-10,1.9e-08,"sig"
"Gm3739",27.58700848,-3.484755455,0.547163891,-6.368759908,1.91e-10,1.97e-08,"sig"
"Itgb2",767.6850871,-1.691870133,0.266110141,-6.357781501,2.05e-10,2.1e-08,"sig"
"Insrr",100.4248338,3.212090376,0.505413435,6.355371964,2.08e-10,2.12e-08,"sig"
"Ccl9",734.0981784,-1.897348416,0.298706791,-6.351875733,2.13e-10,2.16e-08,"sig"
"Fam171a2",721.5719333,-1.093162884,0.172322086,-6.343718964,2.24e-10,2.26e-08,"sig"
"Cacnb2",75.13711551,-1.625970373,0.256444441,-6.340439144,2.29e-10,2.3e-08,"sig"
"Cckar",46.77328174,4.049992769,0.639884834,6.329252634,2.46e-10,2.46e-08,"sig"
"Lsr",1519.45474,-0.894358493,0.141537704,-6.318870987,2.63e-10,2.62e-08,"sig"
"Fam184a",123.4876159,2.106220608,0.333546966,6.314614798,2.71e-10,2.67e-08,"sig"
"Vmp1",2608.313207,-0.795458113,0.126412712,-6.29254844,3.12e-10,3.03e-08,"sig"
"Ctss",2918.684726,-1.538923401,0.244502392,-6.294103666,3.09e-10,3.03e-08,"sig"
"Gm42047",1207.356137,-1.568916953,0.24929811,-6.293336735,3.11e-10,3.03e-08,"sig"
"Ascl1",114.8365626,2.911000907,0.463270747,6.283584554,3.31e-10,3.2e-08,"sig"
"Amigo1",1053.657482,0.676789166,0.10776798,6.280057993,3.38e-10,3.25e-08,"sig"
"Syk",400.4014944,-1.014730836,0.161972608,-6.26482989,3.73e-10,3.57e-08,"sig"
"Tubb6",747.9468125,-1.471775472,0.235067163,-6.261084929,3.82e-10,3.64e-08,"sig"
"Fezf2",80.09260376,-4.125426044,0.659495118,-6.255430753,3.96e-10,3.75e-08,"sig"
"Gm15987",20.83184579,-3.348149138,0.53630535,-6.242990372,4.29e-10,4.04e-08,"sig"
"Capg",2450.003155,-1.288126512,0.206550048,-6.236389304,4.48e-10,4.2e-08,"sig"
"Slc6a4",45.06488558,-3.538602445,0.568215324,-6.227573062,4.74e-10,4.42e-08,"sig"
"Sinhcaf",182.8232172,-1.274136003,0.205236138,-6.208146443,5.36e-10,4.97e-08,"sig"
"Cdca7l",1505.84832,-1.376314269,0.221834802,-6.204230618,5.5e-10,5.07e-08,"sig"
"Anxa2",8539.177746,-1.195232028,0.192748958,-6.200977881,5.61e-10,5.15e-08,"sig"
"Ect2l",22.61455332,3.728783375,0.601531124,6.198820349,5.69e-10,5.2e-08,"sig"
"Ccr1",79.80711404,-2.387850082,0.38589545,-6.187816109,6.1e-10,5.55e-08,"sig"
"Gm5796",19.23869664,-6.014818654,0.97284241,-6.182726607,6.3e-10,5.7e-08,"sig"
"Srgn",630.3287043,-0.862298201,0.139709302,-6.172088675,6.74e-10,6.07e-08,"sig"
"Sema3a",133.1952359,-2.31565768,0.376905169,-6.143873497,8.05e-10,7.21e-08,"sig"
"S100a6",2074.298551,-1.53376389,0.250222088,-6.129610303,8.81e-10,7.85e-08,"sig"
"Plat",583.0996793,-1.372316386,0.223963936,-6.127398944,8.93e-10,7.92e-08,"sig"
"Plb1",125.4300278,-1.871207742,0.306648067,-6.102134485,1.05e-09,9.24e-08,"sig"
"Myo1g",226.780509,-1.250199677,0.205006506,-6.098341477,1.07e-09,9.42e-08,"sig"
"Pnoc",78.3220051,3.605782905,0.592513942,6.085566342,1.16e-09,1.02e-07,"sig"
"Sfn",1134.620633,-1.801940839,0.296155146,-6.084448861,1.17e-09,1.02e-07,"sig"
"Gm3411",19.42501857,-4.735635013,0.779270601,-6.077009714,1.22e-09,1.06e-07,"sig"
"Krt18",3498.807614,-1.155600592,0.190215713,-6.075211011,1.24e-09,1.07e-07,"sig"
"Hoxb5",63.57029183,-1.962444534,0.324353333,-6.050329485,1.45e-09,1.23e-07,"sig"
"Pcsk1n",58.89800017,2.64997153,0.437960809,6.050704714,1.44e-09,1.23e-07,"sig"
"Ifi44",181.2140318,-1.511839769,0.250038834,-6.046419839,1.48e-09,1.26e-07,"sig"
"Trim67",61.3477991,2.578415682,0.42684169,6.040683799,1.53e-09,1.3e-07,"sig"
"Hddc3",262.9263226,-0.944853235,0.156775129,-6.026805657,1.67e-09,1.41e-07,"sig"
"Tnfsf8",23.5035975,-2.74162305,0.456141225,-6.010469785,1.85e-09,1.55e-07,"sig"
"Slpi",964.2751332,-8.389454951,1.396712193,-6.006573861,1.89e-09,1.58e-07,"sig"
"Gm29260",89.59653667,-1.603328164,0.267184894,-6.000818919,1.96e-09,1.63e-07,"sig"
"C3ar1",312.5948024,-1.304900356,0.217531287,-5.998678976,1.99e-09,1.65e-07,"sig"
"Osgin2",431.2673869,-1.273179995,0.212281995,-5.997588224,2e-09,1.65e-07,"sig"
"Coro1c",1649.600654,-0.849530607,0.142095157,-5.978603548,2.25e-09,1.84e-07,"sig"
"Grik3",34.6539546,2.622955608,0.439641769,5.966120134,2.43e-09,1.98e-07,"sig"
"Rpl41",4267.72706,-0.905772471,0.15186709,-5.964244589,2.46e-09,2e-07,"sig"
"Tnfsf11",49.50887243,-2.887969281,0.484687123,-5.958419655,2.55e-09,2.06e-07,"sig"
"Rbp7",111.4455203,-1.823543586,0.306142703,-5.956514946,2.58e-09,2.07e-07,"sig"
"Dner",85.36584787,3.318296626,0.557088928,5.95649359,2.58e-09,2.07e-07,"sig"
"Aqp6",114.9941483,1.64876224,0.276976943,5.952705742,2.64e-09,2.11e-07,"sig"
"Tagln2",6800.557029,-0.936643565,0.157392878,-5.950990791,2.67e-09,2.12e-07,"sig"
"Cd24a",42275.18291,-0.702797435,0.118242901,-5.94367553,2.79e-09,2.21e-07,"sig"
"Map6d1",28.27975111,-2.78856185,0.46929925,-5.941969543,2.82e-09,2.22e-07,"sig"
"Tgtp1",1147.256275,-1.359170535,0.228950506,-5.936525579,2.91e-09,2.28e-07,"sig"
"Ptgs2",87.76865067,-2.599283928,0.438580662,-5.926581253,3.09e-09,2.42e-07,"sig"
"Olfm1",359.5306378,-1.134029614,0.191797365,-5.912644388,3.37e-09,2.62e-07,"sig"
"Lgi3",232.7510934,1.568450928,0.265820032,5.900424123,3.63e-09,2.81e-07,"sig"
"Syt9",62.3578502,1.865068836,0.316230903,5.897807004,3.68e-09,2.84e-07,"sig"
"Tlr13",114.9617841,-1.50109321,0.254562312,-5.896761372,3.71e-09,2.85e-07,"sig"
"Asprv1",1866.913864,-8.800117724,1.493032365,-5.894123885,3.77e-09,2.88e-07,"sig"
"Ceacam19",216.2618016,-1.532613998,0.260112872,-5.89211132,3.81e-09,2.91e-07,"sig"
"Itga4",1036.834031,-1.122350546,0.191020267,-5.875557422,4.21e-09,3.2e-07,"sig"
"Klrg2",185.6264451,-1.747849112,0.297901502,-5.867204771,4.43e-09,3.35e-07,"sig"
"Abcc8",56.55006381,2.484976906,0.424415487,5.855057086,4.77e-09,3.59e-07,"sig"
"Scg2",2405.193993,3.271456276,0.559701303,5.845003854,5.07e-09,3.8e-07,"sig"
"Dapl1",112.6620706,-2.965742762,0.507616899,-5.842482333,5.14e-09,3.82e-07,"sig"
"B3gnt7",120.4206941,-2.632207612,0.450480171,-5.843115368,5.12e-09,3.82e-07,"sig"
"Celf3",53.36668726,2.267715592,0.388209717,5.841470449,5.17e-09,3.83e-07,"sig"
"Krt78",666.1525097,-10.14257814,1.737777906,-5.836521518,5.33e-09,3.93e-07,"sig"
"Bsg",14960.82277,-0.812268143,0.139238911,-5.833628969,5.42e-09,3.97e-07,"sig"
"Mpeg1",1985.075889,-1.034968594,0.177408503,-5.833816176,5.42e-09,3.97e-07,"sig"
"Plaur",131.5383182,-2.001956323,0.343361454,-5.830463205,5.53e-09,4.02e-07,"sig"
"D630045J12Rik",348.3487016,1.792280517,0.307413548,5.830193655,5.54e-09,4.02e-07,"sig"
"Gcnt4",30.29319758,-2.967581001,0.511108522,-5.806166149,6.39e-09,4.62e-07,"sig"
"Gm2897",38.53490357,-2.70249395,0.466891938,-5.78826433,7.11e-09,5.12e-07,"sig"
"Krt19",3255.953818,-1.31949434,0.228142094,-5.783651389,7.31e-09,5.24e-07,"sig"
"S100g",38.79046102,-4.150821206,0.717969705,-5.781331961,7.41e-09,5.3e-07,"sig"
"Socs3",327.7132449,-1.047058065,0.181338074,-5.774066305,7.74e-09,5.51e-07,"sig"
"Mpzl3",565.7241943,-1.01019646,0.1750886,-5.769630115,7.94e-09,5.63e-07,"sig"
"Tgm1",380.3786537,-2.100225455,0.364314141,-5.764874916,8.17e-09,5.77e-07,"sig"
"Grem1",316.9843642,-2.40629823,0.418857143,-5.744913923,9.2e-09,6.47e-07,"sig"
"Ucp2",4688.429528,-1.055638586,0.183897116,-5.740375977,9.45e-09,6.62e-07,"sig"
"Rasgrp3",1051.404005,-1.02244007,0.178268507,-5.735393691,9.73e-09,6.79e-07,"sig"
"Gm3667",23.76973581,-4.553333595,0.794342163,-5.732206857,9.91e-09,6.9e-07,"sig"
"Abat",282.3240789,0.895991561,0.156567512,5.722716998,1.05e-08,7.26e-07,"sig"
"Ereg",26.31995597,-4.733139051,0.827814512,-5.717632373,1.08e-08,7.46e-07,"sig"
"Sv2a",117.5003257,1.534787377,0.268608297,5.713849472,1.1e-08,7.6e-07,"sig"
"Pcsk1",177.6212315,2.271749416,0.397733823,5.711733029,1.12e-08,7.66e-07,"sig"
"Gm3752",13.60079395,-6.081004455,1.066364137,-5.702559045,1.18e-08,8.06e-07,"sig"
"Crispld2",651.5922676,1.096171852,0.192269556,5.701224241,1.19e-08,8.09e-07,"sig"
