"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"Gm12689",5.733720633,-0.897150478,0.68526608,-1.309200184,0.19046655,0.488485159,"not"
"C230096K16Rik",15.27343146,-0.664531161,0.507379104,-1.30973301,0.190286173,0.488485159,"not"
"Fscn2",6.612267225,0.931652106,0.711715921,1.309022433,0.190526752,0.488500802,"not"
"Retnla",942.3259241,-0.493519988,0.377076859,-1.308804763,0.190600493,0.488621647,"not"
"Nfkb1",1586.589703,-0.210480539,0.160834022,-1.308681684,0.190642199,0.488660342,"not"
"Npc1l1",12.15696298,1.089984756,0.833132039,1.308297731,0.190772344,0.48885746,"not"
"Adra2b",9.250241028,0.73527427,0.561978492,1.308367277,0.190748766,0.48885746,"not"
"Fkbp3",1611.647258,0.352368698,0.269387958,1.308034332,0.190861665,0.488881678,"not"
"Cntln",402.3495461,0.224366885,0.171522392,1.308090932,0.190842469,0.488881678,"not"
"Ptges3",1989.324869,-0.17851916,0.136478493,-1.308038763,0.190860162,0.488881678,"not"
"Golga7",1107.527214,-0.156562126,0.119711046,-1.307833578,0.190929762,0.488987898,"not"
"2810006K23Rik",175.1276092,0.275248675,0.210506323,1.307555377,0.19102416,0.489161436,"not"
"Tcaf1",1394.162997,-0.233299766,0.178466071,-1.307249968,0.19112783,0.489358665,"not"
"Rptor",859.0403189,0.208726132,0.159700048,1.306988535,0.191216605,0.489517708,"not"
"Plk2",890.4892599,-0.237217331,0.181527428,-1.306785057,0.191285722,0.489558147,"not"
"Rbm43",431.6443336,-0.206450682,0.157979292,-1.306821164,0.191273456,0.489558147,"not"
"Psme2b",24.97469863,-0.563701665,0.43158138,-1.306130643,0.191508134,0.489990784,"not"
"Gm18649",4.415464323,1.064000654,0.814584401,1.306188349,0.191488514,0.489990784,"not"
"Col8a2",139.1864452,0.696532747,0.53334747,1.305964286,0.191564703,0.490067239,"not"
"Tmem177",133.3072663,0.448041917,0.34309477,1.305883845,0.191592061,0.490068954,"not"
"Adamtsl4",370.1067755,0.889182944,0.681196398,1.305325376,0.191782077,0.490147526,"not"
"Matn2",239.4246223,0.26476802,0.202837189,1.305322864,0.191782932,0.490147526,"not"
"Klf9",3419.21169,0.242894957,0.186058537,1.305476014,0.191730809,0.490147526,"not"
"9130230L23Rik",11.78906758,1.103280683,0.845133122,1.305451951,0.191738998,0.490147526,"not"
"Vma21",1337.742978,0.127563562,0.097710975,1.305519285,0.191716085,0.490147526,"not"
"Gm8275",8.817127257,-0.779851646,0.597359639,-1.305497718,0.191723424,0.490147526,"not"
"Zfp395",905.6759365,0.205330779,0.157324041,1.305145595,0.191843276,0.49023352,"not"
"Ddx10",383.472788,-0.236456302,0.181185466,-1.305051159,0.191875428,0.490247459,"not"
"Cmas",1288.510492,0.220066827,0.168652922,1.304850367,0.191943805,0.490253917,"not"
"Slc35f3",44.32287588,0.513699618,0.393697313,1.304808543,0.19195805,0.490253917,"not"
"Gm33023",7.465706741,0.847950077,0.649858785,1.304822058,0.191953446,0.490253917,"not"
"Cd46",132.4778432,0.280148471,0.214765295,1.304440137,0.192083558,0.490391496,"not"
"Adamts1",588.9896788,0.324968363,0.249112549,1.304504186,0.192061733,0.490391496,"not"
"Rgl2",1049.625022,-0.186518047,0.142998367,-1.304336898,0.19211874,0.490391496,"not"
"Kiz",923.1591657,-0.250916272,0.19235967,-1.304412053,0.192093128,0.490391496,"not"
"Plpp1",954.7301678,-0.234366262,0.179759267,-1.30377847,0.192309126,0.490536529,"not"
"Ankrd23",6596.870573,0.837701214,0.642472705,1.303870511,0.192277736,0.490536529,"not"
"Tgfbrap1",1044.43897,0.171207347,0.131315696,1.303784327,0.192307128,0.490536529,"not"
"Snhg20",297.0065833,-0.22956796,0.176054331,-1.303960882,0.19224692,0.490536529,"not"
"1810021B22Rik",32.00329885,0.694088906,0.532349253,1.303822448,0.192294127,0.490536529,"not"
"Exosc4",275.0744026,-0.206295329,0.158243135,-1.303660527,0.192349354,0.490570997,"not"
"Slc9a3r1",1359.486708,-0.25305431,0.194128686,-1.303538983,0.192390817,0.490608605,"not"
"Bcl6b",183.4031261,0.378781035,0.290694285,1.303021952,0.192567267,0.490722859,"not"
"Paxbp1",1430.527079,-0.304823487,0.233913843,-1.303144284,0.192525507,0.490722859,"not"
"Hipk2",586.6814485,-0.486456371,0.373353457,-1.302937905,0.192595962,0.490722859,"not"
"Prpf38a",456.6918713,-0.22065119,0.169313555,-1.303210426,0.192502931,0.490722859,"not"
"Gm28719",7.72873781,0.885504417,0.679599561,1.302979677,0.1925817,0.490722859,"not"
"Zc3h11a",1606.876827,0.236554017,0.181548501,1.302979736,0.19258168,0.490722859,"not"
"Rab4b",490.2345739,-0.223333316,0.171445415,-1.30264969,0.192694385,0.490905521,"not"
"Smc3",1126.291671,-0.174778182,0.134219588,-1.302180883,0.192854559,0.491245424,"not"
"Bfar",812.47284,0.15976866,0.122702189,1.302084834,0.192887387,0.4912609,"not"
"Synpo2l",791.4570746,0.908825202,0.698050519,1.301947606,0.192934297,0.491312231,"not"
"Med13l",806.1254522,-0.293668894,0.225585079,-1.301809922,0.192981371,0.491363966,"not"
"Snapin",1453.083917,0.167568535,0.128730096,1.30170442,0.193017448,0.491387689,"not"
"Gm49492",140.0482142,0.373055794,0.28661054,1.301612263,0.193048966,0.4913998,"not"
"Thoc5",510.924257,-0.179971782,0.13831346,-1.301187762,0.193194193,0.491701312,"not"
"Orai1",546.7408742,-0.343533589,0.264118982,-1.300677392,0.193368904,0.492077769,"not"
"Ahctf1",1069.078302,0.180482349,0.138769943,1.300586753,0.193399944,0.492088564,"not"
"Gm7645",4.79928815,2.438282967,1.875908451,1.299787826,0.193673699,0.492716838,"not"
"Dhrs11",267.0815253,0.233866011,0.179953161,1.299593792,0.193740229,0.492817817,"not"
"Sema4d",1026.004913,0.312913285,0.240830722,1.299308005,0.193838248,0.492936011,"not"
"Car3",20515.51892,0.658626534,0.506916736,1.299279521,0.19384802,0.492936011,"not"
"Gm12240",6.809028916,1.534911452,1.181406746,1.299223538,0.193867226,0.492936011,"not"
"Gm20498",105.603365,0.294877881,0.226995125,1.299049397,0.193926978,0.492951424,"not"
"Arc",70.96931479,0.787473201,0.606188858,1.299055882,0.193924752,0.492951424,"not"
"Unc50",680.9229751,-0.161160199,0.124106571,-1.298562984,0.194093948,0.493307567,"not"
"Slc25a37",1104.94332,0.178155296,0.137218089,1.298336809,0.194171623,0.493368412,"not"
"Gimap8",213.4708809,-0.266053955,0.204916555,-1.298352666,0.194166177,0.493368412,"not"
"Peli2",564.0467031,0.254821953,0.196358732,1.297736799,0.194377794,0.493630415,"not"
"Osbpl11",602.3734946,0.178134298,0.137266728,1.297723793,0.194382265,0.493630415,"not"
"Pop7",173.2559265,-0.256650703,0.197749677,-1.297856494,0.194336652,0.493630415,"not"
"Gm15651",6.781950409,0.824047011,0.634896715,1.29792294,0.194313816,0.493630415,"not"
"Sh2d4b",12.83740262,-0.839748854,0.647230315,-1.297449816,0.194476461,0.493733065,"not"
"Cenpw",21.33515729,-0.625391747,0.481993399,-1.297511021,0.194455416,0.493733065,"not"
"Ctnna3",17.79468572,0.887340488,0.684100469,1.297090891,0.194599915,0.493978192,"not"
"Derl2",1122.130422,-0.205223703,0.158234773,-1.296957038,0.194645969,0.493989499,"not"
"Ifngr1",1419.43513,-0.165402651,0.127545201,-1.29681595,0.194694521,0.493989499,"not"
"Ace",940.6300752,0.253898827,0.195805781,1.296687081,0.194738876,0.493989499,"not"
"Tmem94",1347.036691,0.249265945,0.192223923,1.296747781,0.194717983,0.493989499,"not"
"Ppp2r2d",826.9847979,0.182028487,0.140365127,1.296821308,0.194692678,0.493989499,"not"
"Gm15710",8.703467666,-1.089489674,0.840296701,-1.296553554,0.194784842,0.494037853,"not"
"Gbp7",416.593665,-0.263365421,0.203151997,-1.296395921,0.194839117,0.494107264,"not"
"Nbas",700.666873,0.242692927,0.187234217,1.296199653,0.194906709,0.494210425,"not"
"Septin7",2929.510197,-0.157159881,0.121266417,-1.295988487,0.194979451,0.494326614,"not"
"Cavin4",671.650393,0.891286541,0.687942103,1.295583651,0.195118965,0.49461203,"not"
"Epb42",29.26816259,0.968940309,0.7480084,1.295360198,0.195196002,0.494739017,"not"
"Slc25a30",574.569566,0.264586261,0.204308361,1.295033935,0.195308523,0.494955895,"not"
"Wdr90",407.9855251,0.380026595,0.293498796,1.294814835,0.195384113,0.495079132,"not"
"Fam219a",466.6759091,0.214804949,0.165946081,1.294426163,0.195518258,0.495316475,"not"
"Dctn6",705.1532288,0.212869377,0.164455725,1.294387146,0.195531728,0.495316475,"not"
"Calcoco1",3856.004863,0.185458487,0.143311501,1.294093535,0.195633114,0.495436613,"not"
"Bcar3",182.0311846,0.378962487,0.292839136,1.294097817,0.195631635,0.495436613,"not"
"Cox7b",2659.69163,0.301727412,0.233176377,1.293987904,0.195669599,0.495460679,"not"
"Glt28d2",144.4064462,0.293274775,0.226679974,1.293783341,0.195740268,0.495571288,"not"
"Arsj",11.30605896,-0.787685421,0.608970381,-1.293470825,0.195848268,0.495643765,"not"
"Iqck",61.40902686,-0.328489466,0.253954569,-1.293496973,0.19583923,0.495643765,"not"
"Gm49870",5.53889898,0.977779139,0.755937144,1.293466192,0.19584987,0.495643765,"not"
"Poc1b",233.5411218,0.219705902,0.169918752,1.293005627,0.196009113,0.495854611,"not"
"Rab15",1733.84205,0.175630447,0.135822488,1.293088131,0.19598058,0.495854611,"not"
"Fut8",910.549462,0.155127421,0.119975644,1.29299094,0.196014193,0.495854611,"not"
"Phf21a",797.718093,0.316620926,0.244900948,1.292853002,0.196061905,0.495906992,"not"
"Gm28874",16.99640485,0.637571461,0.493237692,1.292625182,0.196140726,0.496038032,"not"
"Dtnbp1",651.6199625,0.236187513,0.182730634,1.292544702,0.196168576,0.496040148,"not"
"Flrt3",280.1052004,-0.322691154,0.249672689,-1.292456757,0.196199012,0.496048803,"not"
"Gm9796",7.826645244,1.188571205,0.919869291,1.292108799,0.196319469,0.496285024,"not"
"Col4a3",1531.663179,0.348209302,0.269555444,1.291791021,0.196429526,0.496494891,"not"
"Mbd6",1852.677022,0.249678718,0.193346977,1.291350513,0.196582162,0.496761594,"not"
"Arhgef10",1152.746252,0.188727971,0.14615003,1.291330361,0.196589147,0.496761594,"not"
"Ip6k3",151.2370021,0.705457893,0.546495222,1.290876597,0.196746472,0.496885839,"not"
"Mfsd6",1815.986442,-0.202115005,0.156543639,-1.291109665,0.196665653,0.496885839,"not"
"Trim30d",161.7702414,-0.433542586,0.335811427,-1.291029879,0.196693317,0.496885839,"not"
"Gm6485",4.622926346,1.962407295,1.520213203,1.290876366,0.196746552,0.496885839,"not"
"Fst",157.5164598,0.463837365,0.359364828,1.290714419,0.196802723,0.496959351,"not"
"Abcc1",1221.494183,0.263759458,0.204378107,1.290546536,0.196860965,0.496969742,"not"
"Col6a5",13.82977876,0.951962114,0.737622855,1.290581097,0.196848974,0.496969742,"not"
"Gm36028",10.61842736,1.330282243,1.031016765,1.290262475,0.196959541,0.497150248,"not"
"Sp7",7.767713038,1.283946424,0.995282528,1.290032115,0.197039508,0.497175591,"not"
"Leng1",343.2035031,0.222018727,0.172093747,1.290103389,0.197014763,0.497175591,"not"
"Tgfbr3l",171.5240395,0.373402318,0.289459257,1.289999574,0.197050806,0.497175591,"not"
"Creb1",1213.068051,-0.199115129,0.154379922,-1.289773478,0.197129319,0.497247065,"not"
"Gm37154",26.31665511,0.798094559,0.618792098,1.28976204,0.197133292,0.497247065,"not"
"Galnt5",102.0226464,0.426103885,0.330412973,1.289610033,0.197186091,0.497281198,"not"
"Bgn",4629.826198,-0.18531814,0.143719377,-1.289444362,0.197243647,0.497281198,"not"
"Mettl27",498.9619205,0.27572654,0.213839096,1.289411268,0.197255146,0.497281198,"not"
"Tango6",177.1036982,0.351341495,0.272454088,1.289543854,0.197209081,0.497281198,"not"
"5830408C22Rik",47.98943739,0.553326346,0.429194695,1.289219911,0.197321645,0.497312293,"not"
"AC167036.1",19.3633518,-0.723210869,0.560963427,-1.289229982,0.197318145,0.497312293,"not"
"Ncoa3",1904.560445,0.228435353,0.177220575,1.288988893,0.197401948,0.497424121,"not"
"Dennd2d",636.7968718,-0.199788826,0.155021596,-1.288780609,0.197474369,0.497424121,"not"
"Cltb",1774.239026,-0.227894612,0.176812345,-1.28890668,0.197430532,0.497424121,"not"
"Fsd1l",395.171319,0.320708867,0.248834744,1.288842793,0.197452745,0.497424121,"not"
"Sgsh",509.9228535,-0.224718562,0.174451011,-1.288147087,0.197694767,0.497501577,"not"
"Actn3",12836.58582,0.779417238,0.604993883,1.288305982,0.197639472,0.497501577,"not"
"Tbx1",439.8336719,0.572243711,0.444193872,1.288274666,0.197650369,0.497501577,"not"
"Abr",922.1271087,-0.168669016,0.130939163,-1.288147964,0.197694462,0.497501577,"not"
"Fuca2",1801.396577,-0.157634077,0.122337635,-1.288516636,0.197566182,0.497501577,"not"
"Dand5",134.4308087,0.364083217,0.282570379,1.288469152,0.1975827,0.497501577,"not"
"1700066B19Rik",12.26224285,1.114430968,0.865025133,1.288322068,0.197633874,0.497501577,"not"
"D830039M14Rik",55.67502215,0.773164085,0.600368199,1.28781652,0.19780984,0.497722951,"not"
"Myo18a",3291.449803,0.256768343,0.199429134,1.287516714,0.197914248,0.49773873,"not"
"Dhx37",377.498342,0.388658192,0.30189169,1.287409374,0.197951639,0.49773873,"not"
"Twist1",74.6581831,0.433564608,0.336744569,1.287517746,0.197913888,0.49773873,"not"
"Cep126",207.0176439,0.339383238,0.263563533,1.287671453,0.197860355,0.49773873,"not"
"Cpped1",1096.26921,0.153580875,0.119293536,1.287419931,0.197947961,0.49773873,"not"
"Rab23",294.1132455,0.356751815,0.277136663,1.287277589,0.197997552,0.497779422,"not"
"Tmem258",680.8558646,-0.203591997,0.158165662,-1.287207317,0.198022038,0.497779422,"not"
"Trhde",9.454881008,0.961390153,0.746988128,1.287021999,0.198086621,0.497805476,"not"
"Zfp874b",232.9187619,0.363373189,0.282325545,1.287071596,0.198069335,0.497805476,"not"
"Slc7a4",570.1410394,0.198751051,0.154472752,1.286641489,0.198219276,0.497866305,"not"
"Frmd7",9.734407098,0.719312277,0.558961646,1.286872332,0.19813879,0.497866305,"not"
"Gm973",42.3349716,0.754048474,0.586036105,1.286692864,0.198201361,0.497866305,"not"
"Rnf138rt1",12.28468998,1.119142131,0.869755999,1.286731143,0.198188014,0.497866305,"not"
"Spsb3",592.79168,-0.227970286,0.177201324,-1.286504414,0.198267079,0.497918269,"not"
"Mgrn1",3015.789353,0.146361285,0.113783929,1.286308945,0.198335262,0.498021389,"not"
"Trappc8",1155.943678,-0.152936266,0.118919514,-1.286048523,0.198426128,0.49818143,"not"
"Rhpn1",1081.851133,-0.230401929,0.179167287,-1.2859598,0.198457092,0.498191056,"not"
"Sez6l",36.76908689,-0.492516016,0.383054093,-1.285761007,0.198526483,0.498297129,"not"
"Arid3b",147.9342806,0.31805119,0.247459521,1.285265522,0.198699514,0.498554276,"not"
"Naa10",510.744604,-0.233609937,0.181770313,-1.285193019,0.198724843,0.498554276,"not"
"Rab42",42.6606571,0.601096854,0.467722617,1.285156698,0.198737532,0.498554276,"not"
"Gm31305",12.73269582,0.953985751,0.74224624,1.285268554,0.198698455,0.498554276,"not"
"Rnf44",1732.524036,0.223447205,0.173886407,1.285018244,0.198785909,0.498607519,"not"
"Rala",1128.976364,-0.205175722,0.159686527,-1.284865576,0.198839262,0.498673228,"not"
"Rnf125",92.54328826,-0.395202348,0.307610395,-1.284749653,0.198879781,0.498706735,"not"
"Zfp53",180.2081385,-0.229695021,0.178817872,-1.284519374,0.198960289,0.498840496,"not"
"Smtnl1",1030.016206,0.925901132,0.72092986,1.284315136,0.199031713,0.498951446,"not"
"Adra1d",8.37273033,0.816214249,0.635625206,1.284112464,0.199102608,0.499061041,"not"
"Scarb2",4032.919647,-0.129492748,0.100917592,-1.283153362,0.199438352,0.499834373,"not"
"Gstk1",361.5698436,0.375031072,0.292352644,1.28280376,0.199560837,0.500004863,"not"
"Gm17655",52.57611848,-0.415185367,0.323653781,-1.282807098,0.199559667,0.500004863,"not"
"Mtrf1l",155.5860987,0.335165746,0.26133285,1.28252436,0.199658765,0.500181979,"not"
"Mak",64.93536465,0.521639483,0.406834617,1.282190503,0.199775827,0.500270491,"not"
"Rbm45",381.2009613,-0.226165607,0.176384163,-1.28223307,0.199760899,0.500270491,"not"
"A830073O21Rik",63.79441615,-0.623639211,0.486360008,-1.282258412,0.199752011,0.500270491,"not"
"Zdhhc2",164.8276192,0.394756698,0.307915626,1.282028793,0.199832546,0.500276079,"not"
"B3galt4",58.26080338,-0.381370351,0.297464831,-1.282068705,0.199818546,0.500276079,"not"
"Srrd",110.9847747,-0.272796353,0.212803213,-1.281918393,0.199871275,0.500304829,"not"
"Gnb1",5673.897136,-0.173836422,0.135634554,-1.281652915,0.199964429,0.500469784,"not"
"Pcgf2",580.958449,0.246702696,0.192529259,1.281377688,0.200061037,0.500575123,"not"
"Ppp2r5a",3661.70024,0.152061172,0.118668868,1.281390598,0.200056505,0.500575123,"not"
"Atm",240.7263605,-0.300109176,0.23426074,-1.281090362,0.200161929,0.500697891,"not"
"Pdp1",859.8078152,0.215073845,0.167884441,1.281082653,0.200164636,0.500697891,"not"
"Slc25a17",826.4364618,-0.148519081,0.115981541,-1.280540678,0.200355048,0.500763861,"not"
"Pdlim3",1887.149694,0.81970485,0.639962111,1.280864657,0.200241209,0.500763861,"not"
"Crygs",14.93443924,-0.728139047,0.568642226,-1.280487121,0.200373872,0.500763861,"not"
"Alg3",257.5273603,-0.209819609,0.163862134,-1.280464275,0.200381901,0.500763861,"not"
"Fam91a1",1596.662475,-0.219823525,0.171667538,-1.280518885,0.200362707,0.500763861,"not"
"Oaz2",2329.540029,0.213884086,0.167006001,1.280697009,0.200300111,0.500763861,"not"
"Cldn8",588.4359521,-0.259916135,0.202976379,-1.280524051,0.200360892,0.500763861,"not"
"Sdhb",2949.145004,0.376015779,0.293718645,1.280190363,0.200478194,0.500868175,"not"
"Tmem29",114.4129243,-0.329716533,0.257548275,-1.280212548,0.200470394,0.500868175,"not"
"Mxi1",1135.691032,0.17686584,0.138190868,1.279866335,0.200592149,0.501084701,"not"
"Gm36981",6.653253202,1.258076536,0.983486362,1.279200796,0.200826356,0.501601519,"not"
"Myrip",127.5180311,0.729767294,0.570543296,1.279074347,0.200870876,0.501644485,"not"
"Filip1l",907.0796469,-0.195667053,0.153000059,-1.278869132,0.200943144,0.501747034,"not"
"A930030B08Rik",5.502568986,1.636300809,1.279557018,1.278802575,0.200966587,0.501747034,"not"
"Rdm1",321.7293679,-0.23717517,0.185498211,-1.278584672,0.201043351,0.501802235,"not"
"Cdkl2",477.9826715,0.168362631,0.131673864,1.278633635,0.2010261,0.501802235,"not"
"Maco1",1381.313582,0.16150426,0.126348856,1.278240784,0.20116454,0.501900061,"not"
"Magix",148.8687868,0.677891316,0.530318435,1.278272207,0.201153464,0.501900061,"not"
"Znrd1",243.719667,-0.257156595,0.201156697,-1.278389427,0.20111215,0.501900061,"not"
"Mmrn2",659.7208742,-0.230655442,0.180472409,-1.278064847,0.201226562,0.501986601,"not"
"Ccdc17",114.3192316,0.503353561,0.393974751,1.277628984,0.201380276,0.502301821,"not"
"Apool",355.7818491,0.280337728,0.21946661,1.277359359,0.201475406,0.502470852,"not"
"Gm15475",11.95519734,1.480900766,1.159721787,1.276944852,0.201621718,0.502767463,"not"
"Foxp4",1276.095983,-0.209748324,0.16429233,-1.276677519,0.201716122,0.502934574,"not"
"Ppp4r2",2576.92338,-0.171846106,0.134643515,-1.276304369,0.201847946,0.503166654,"not"
"Trgc1",72.77568019,-0.596493981,0.467376933,-1.276258922,0.201864006,0.503166654,"not"
"Snx25",351.6655982,-0.2751143,0.215596403,-1.27606164,0.20193373,0.503272135,"not"
"Bhlhe41",404.6833543,0.42263186,0.331286395,1.275729601,0.202051121,0.503362117,"not"
"Ppp1r37",1507.69303,0.145051848,0.113701331,1.275726916,0.20205207,0.503362117,"not"
"Gm48768",50.74795264,0.388876785,0.304823898,1.275742445,0.202046579,0.503362117,"not"
"Rxrb",914.686886,-0.144145552,0.113022107,-1.275374842,0.202176599,0.503604026,"not"
"Zfp1",236.1407485,0.265609784,0.208287555,1.275207177,0.202235922,0.503683471,"not"
"Egln1",2337.12871,0.283215633,0.222117764,1.275069709,0.20228457,0.503736311,"not"
"Hoxa4",51.66877466,0.646218625,0.506871372,1.2749164,0.202338834,0.503803119,"not"
"Ccdc170",27.39774257,0.735981883,0.577369985,1.274714484,0.202410318,0.503895333,"not"
"Rims2",74.81451597,0.630527914,0.494673468,1.274634593,0.202438607,0.503895333,"not"
"Acot6",116.3154796,0.303361236,0.238008916,1.274579291,0.202458191,0.503895333,"not"
"Cmya5",7735.054022,0.8291346,0.650625092,1.274366159,0.20253368,0.504014902,"not"
"Gm44769",4.7300901,1.2877785,1.010599716,1.274271583,0.202567184,0.504029972,"not"
"Yeats4",455.2893112,-0.193922863,0.152194268,-1.274179811,0.202599698,0.504042577,"not"
"Gm50194",73.51031997,0.804310309,0.631429799,1.273792129,0.202737095,0.504316077,"not"
"Gm14399",93.34953504,0.355231968,0.278903918,1.273671487,0.202779866,0.504354148,"not"
"Lrrc14b",402.6842347,1.204649176,0.945978799,1.273442044,0.202861226,0.504488176,"not"
"Vapb",2057.140435,0.21653264,0.170082983,1.273099966,0.202982571,0.504721591,"not"
"Adamtsl5",502.623165,0.505392386,0.397019664,1.272965629,0.203030239,0.504771767,"not"
"Pick1",805.3220879,0.179774153,0.141243209,1.272798553,0.203089535,0.504850836,"not"
"Gm16192",5.783771076,-1.124164383,0.883391148,-1.272555635,0.20317577,0.504996842,"not"
"Stxbp2",1903.558808,-0.182552206,0.143494265,-1.272191646,0.203305035,0.505087844,"not"
"Med27",221.3037489,-0.240969123,0.189406583,-1.272232037,0.203290688,0.505087844,"not"
"Tgfa",748.8007769,0.351266204,0.276116486,1.272166723,0.203313888,0.505087844,"not"
"Gm43136",4.553216301,1.304263725,1.025249509,1.272142745,0.203322406,0.505087844,"not"
"Pced1a",403.2797253,-0.199815229,0.157081854,-1.272045269,0.203357036,0.505105539,"not"
"Cd200",717.6810933,-0.200171539,0.157417967,-1.271592704,0.20351787,0.505436658,"not"
"Pcbp1",3056.76537,-0.144589943,0.113732453,-1.271316491,0.203616078,0.505556874,"not"
"Gm16758",7.613157402,1.015203418,0.798554285,1.271301698,0.203621339,0.505556874,"not"
"Cep72",98.28508123,-0.511187246,0.40213169,-1.27119364,0.203659769,0.50558393,"not"
"Elavl4",10.74627729,0.949413333,0.74694845,1.271056031,0.203708716,0.505602484,"not"
"Alpk2",323.8274373,0.887915033,0.698624734,1.270947034,0.203747492,0.505602484,"not"
"Rnf139",833.2849499,0.146639638,0.115389738,1.270820445,0.203792534,0.505602484,"not"
"Usp22",2112.264174,-0.193014428,0.15188104,-1.270826349,0.203790433,0.505602484,"not"
"Ubr4",4034.589261,0.175590251,0.138174561,1.270785661,0.203804911,0.505602484,"not"
"Zfp975",146.0326141,0.23458612,0.184613283,1.270689286,0.203839209,0.505619261,"not"
"Tmem246",537.7465365,0.241801848,0.19032194,1.270488564,0.203910654,0.50565987,"not"
"Srp54a",2574.727873,0.157529258,0.123989509,1.270504733,0.203904898,0.50565987,"not"
"Klk1b27",12.61745387,0.914723801,0.720200347,1.270096306,0.204050327,0.50593791,"not"
"Acot8",228.106213,-0.297283697,0.234101852,-1.269890412,0.204123669,0.506000106,"not"
"Zfp37",180.3142688,0.332953437,0.262208788,1.269802738,0.204154905,0.506000106,"not"
"Lrtm2",30.70524979,0.909805348,0.716526671,1.269743871,0.20417588,0.506000106,"not"
"Gm37310",5.961912182,-1.430740805,1.126819101,-1.269716499,0.204185633,0.506000106,"not"
"Stx1a",55.79412389,-0.570803602,0.449644711,-1.269454722,0.20427893,0.506061311,"not"
"Med15",1076.775602,0.270435142,0.213057937,1.269303294,0.204332912,0.506061311,"not"
"Cbx2",102.4529113,-0.280734182,0.22116992,-1.269314475,0.204328926,0.506061311,"not"
"Taf4b",140.9446171,-0.258415692,0.203561696,-1.26947111,0.204273088,0.506061311,"not"
"Crocc2",38.45469134,0.641563795,0.505462616,1.269260625,0.204348125,0.506061311,"not"
"Trappc10",1390.842337,0.159732726,0.12586143,1.269115776,0.204399774,0.506095406,"not"
"Rundc1",612.9318617,0.172736817,0.13611319,1.269067434,0.204417014,0.506095406,"not"
"Cox11",176.1453155,0.28770792,0.226726498,1.268964693,0.204453657,0.50611789,"not"
"Gm10614",10.80122929,0.802856262,0.632812711,1.268710707,0.204544262,0.50627393,"not"
"Abhd16a",1744.875331,-0.165129439,0.130183859,-1.268432514,0.204643537,0.506383137,"not"
"Gm26592",6.303153287,0.888403832,0.700368174,1.268481158,0.204626175,0.506383137,"not"
"Abhd17c",478.9271034,-0.251069063,0.197965339,-1.268247583,0.204709549,0.506478234,"not"
"Trp53i13",187.3424012,-0.264905761,0.208920981,-1.267971076,0.20480828,0.506654243,"not"
"Fcer1a",9.15922857,-1.203879212,0.949630808,-1.267733947,0.204892978,0.506659002,"not"
"Aebp1",1194.403179,-0.245558714,0.193689976,-1.26779258,0.204872032,0.506659002,"not"
"Flt1",3005.623483,-0.240171853,0.189443027,-1.267778798,0.204876956,0.506659002,"not"
"S100a3",5.682073569,-0.989814681,0.781187317,-1.267064454,0.205132244,0.50678979,"not"
"Rapgef3",1166.669669,0.194177068,0.15322671,1.267253388,0.205064702,0.50678979,"not"
"Pacsin3",2215.576927,0.339261888,0.267747076,1.267098388,0.205120112,0.50678979,"not"
"Vill",134.2825933,0.86563685,0.683100922,1.267216633,0.20507784,0.50678979,"not"
"Clstn1",3677.641801,0.192999226,0.152322266,1.267045399,0.205139057,0.50678979,"not"
"Fam117b",1373.958295,-0.270250141,0.213228614,-1.267419677,0.205005268,0.50678979,"not"
"Tnfaip8l3",10.35088307,-0.754417926,0.595217041,-1.267466948,0.204988375,0.50678979,"not"
"Pik3c2a",1033.247679,-0.201354493,0.158941281,-1.266848308,0.205209535,0.506808638,"not"
"Myd88",735.7631376,-0.192410925,0.151887192,-1.266801511,0.205226272,0.506808638,"not"
"Megf8",1776.205568,0.164682672,0.129999719,1.266792527,0.205229485,0.506808638,"not"
"Braf",1277.656812,-0.252981129,0.199776325,-1.266321865,0.205397872,0.507019911,"not"
"Mafk",786.6332886,0.256522571,0.202571105,1.266333473,0.205393718,0.507019911,"not"
"Cbx8",139.3827061,-0.315633551,0.249246255,-1.26635223,0.205387005,0.507019911,"not"
"Wars2",206.0349155,0.280683247,0.22167769,1.266177242,0.205449633,0.507059031,"not"
"Fabp3",2150.346242,0.934627309,0.738180331,1.26612329,0.205468946,0.507059031,"not"
"Abhd8",492.8953218,0.209193041,0.165271469,1.26575411,0.205601129,0.507278495,"not"
"Gzmb",9.261879877,1.018653086,0.80494804,1.265489244,0.205696002,0.507278495,"not"
"Fbxl17",482.2489433,0.214007993,0.169107729,1.265512788,0.205687567,0.507278495,"not"
"Tmem30b",1017.569139,0.222827369,0.176074024,1.265532328,0.205680567,0.507278495,"not"
"Suv39h1",214.0249958,-0.203818575,0.161035152,-1.265677538,0.205628553,0.507278495,"not"
"5430427O19Rik",22.25254726,-0.589009312,0.465491311,-1.265349745,0.205745982,0.507333619,"not"
"Pnpla7",344.2254831,0.263900742,0.208573816,1.265263045,0.205777049,0.507342099,"not"
"Gpn2",170.6817139,-0.228399842,0.180555688,-1.264982815,0.205877488,0.507521589,"not"
"Smpd3",974.0561384,-0.389097148,0.307616361,-1.264877939,0.205915087,0.50754614,"not"
