,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TMPRSS11B,29.90353616,5.269719342,1.181138726,4.461558347,8.14E-06,0.000250691
KRT4,13235.59577,7.494195482,1.680132963,4.460477622,8.18E-06,0.000251537
TAPBP,4767.459034,0.700951541,0.157324548,4.45544925,8.37E-06,0.000257075
CD63,4634.117932,0.605372525,0.13603628,4.450081447,8.58E-06,0.000263145
UPK1A,34.23244426,2.428314056,0.545882628,4.448417903,8.65E-06,0.000263432
LAMC3,141.5300327,-1.850929259,0.416032493,-4.449001682,8.63E-06,0.000263432
KCNK1,7818.416905,0.661613636,0.148720072,4.448717832,8.64E-06,0.000263432
PIRT,8.483177011,-3.295039202,0.740611469,-4.449079363,8.62E-06,0.000263432
CSF2RB2,198.9180095,1.52731335,0.343411788,4.447469195,8.69E-06,0.000264159
GPR35,76.05661316,2.23262736,0.502728131,4.441023336,8.95E-06,0.000271381
TINAGL1,1803.777165,0.930645031,0.209559468,4.44095913,8.96E-06,0.000271381
CDCA2,31.2285942,1.731166974,0.390429301,4.434008845,9.25E-06,0.000279822
H2-K1,14586.92074,0.606665299,0.136836235,4.433513537,9.27E-06,0.000280005
GM10076,929.6768004,0.907897116,0.204842158,4.432179016,9.33E-06,0.000281281
KCNA4,23.57246518,4.417370176,0.997466689,4.428589169,9.49E-06,0.000285534
GM17140,25.60950732,3.134745216,0.70834808,4.425430528,9.63E-06,0.00028927
COTL1,874.2525858,1.078480713,0.24382877,4.423106898,9.73E-06,0.000291491
NRROS,258.4084431,0.927191383,0.209626036,4.423073578,9.73E-06,0.000291491
CDSN,348.5733865,1.936084057,0.437889394,4.421399746,9.81E-06,0.00029328
NRG4,111.1071354,-1.183173709,0.267643734,-4.420703943,9.84E-06,0.000293748
ARMCX4,326.4167527,-1.355692373,0.306697427,-4.420292613,9.86E-06,0.00029383
LHFPL5,10.57258948,-2.85539012,0.646465861,-4.416923293,1.00E-05,0.000297962
