cytokine
IL18
IL18BP
IL1A
IL1B
IL1F10
IL1RA
IL1F3
IL1F5
IL1F6
IL1F7
IL1F8
IL1RL2
IL1F9 
IL33
IL18R1
IL18RAP
IL1R1
IL1R2
IL1R3
IL1R8
IL1R9
IL1RL1
SIGIRR
BAFF
4-1BBL
TNFSF8
CD40LG
CD70
CD178
CD95L
EDA-A1
TNFSF14
TNFB
LTA
LTB
TNFa
TNFSF10
TNFSF11
TNFSF12
TNFSF13
TNFSF15
TNFSF4
4-1BB
BAFFR
TNFRSF7
CD40
CD95
DcR3
TNFRSF21
EDA2R
EDAR
PGLYRP1
TNFRSF19L
TNFR1
TNFR2
TNFRSF11A
TNFRSF11B
TNFRSF12A
TNFRSF13B
TNFRSF14
TNFRSF17
TNFRSF18
TNFRSF19
TNFRSF25
LTBR
TNFRSF4
TNFRSF8
TRAILR1
TRAILR2
TRAILR3
TRAILR4
IFNA1
IFNA10
IFNA13
IFNA14
IFNA2
IFNA4
IFNA7
IFNB1
IFNE
IFNG
IFNZ
IFNA8
IFNaG
IFNW1
IFNA5
IFN¥ø
IFNAR1
IFNAR2
IFNGR1
IFNGR2
CLCF1
CNTF
IL11
IL31
IL6
Leptin
LIF
OSM
CNTFR
IL11RA
IL6R
LEPR
LIFR
OSMR
IL31RA
IL10
IL19
IL20
IL22
IL24
IL28B
IL28A
IL29
IL10RA
IL10RB
IL20RA
IL20RB
IL22RA2
IL22R
TGFB1
TGFB2
TGFB3
ALK-7
ATF2
ENG
CD105
TGFBR1
TGFBR2
TGFBR3
TCA3
CCL1
CCL11
MCP-4
MCP-5
CCL12
CCL13
CCL14
CCL15
CCL16
TARC
CCL17
CCL18
CCL19
MCP-1
CCL2
CCL20
CCL21
MDC
CCL22
CCL23
CCL24
CCL25
CCL26
CCL27
CCL28
CCL3
CCL3L3
CCL4
LAG-1
CCL4L1
CCL5
CCL6
CCL7
CCL8
CCL9
CX3CL1
CXCL1
CXCL10
CXCL11
CXCL12
CXCL13
CXCL14
CXCL15
CXCL16
CXCL17
CXCL2
CXCL3
CXCL4
CXCL5
CXCL6
Ppbp
CXCL9
CXCL8
IL8
XCL1
XCL2
FAM19A1
FAM19A2
FAM19A3
FAM19A4
FAM19A5
CCR1
CCR2
CCR3
CCR4
CCR5
CCR6
CCR7
CCR8
CCRL1
CXCR3
CXCR4
CXCR5
CXCR6
CXCR7
CXCR1
CXCR2
