"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Clec4d",50.81923635,4.406874827,0.556291519,7.92188031,2.34e-15,6.14e-13
"Nectin3",272.9649998,2.005776142,0.255307487,7.856315413,3.96e-15,1.02e-12
"Scn9a",58.24391945,-4.543798266,0.579988699,-7.834287594,4.72e-15,1.2e-12
"Cfap52",216.1978659,-1.834122964,0.234676097,-7.815550819,5.47e-15,1.38e-12
"Ccl6",1476.226974,2.410779258,0.308782033,7.80738191,5.84e-15,1.45e-12
"Pdlim1",1499.162573,1.415631352,0.181611626,7.794827792,6.45e-15,1.58e-12
"Sprr1a",470.6203673,7.577551779,0.973490318,7.783900506,7.03e-15,1.7e-12
"Upk3bl",433.5827089,3.224935409,0.414696215,7.776621285,7.45e-15,1.77e-12
"Ccl17",106.0884286,4.686231206,0.602801092,7.774092103,7.6e-15,1.77e-12
"Sphk1",269.6394289,3.244321532,0.41734169,7.773777725,7.62e-15,1.77e-12
"Tcn2",6326.442234,1.226948083,0.158590005,7.736604094,1.02e-14,2.34e-12
"Plek",393.9468705,1.542924845,0.200336734,7.701657168,1.34e-14,3.04e-12
"Mfge8",3379.846896,1.330984793,0.173254322,7.682260255,1.56e-14,3.5e-12
"Sod3",3629.326407,1.829940711,0.238619703,7.668858404,1.74e-14,3.84e-12
"Pcsk2",761.7686499,-3.006531236,0.393405665,-7.642318096,2.13e-14,4.66e-12
"Malt1",1004.913953,1.555374134,0.203678688,7.636410818,2.23e-14,4.83e-12
"Gm43305",1503.557499,2.125623522,0.280115799,7.58837427,3.24e-14,6.92e-12
"Arl4c",609.6281385,1.810926489,0.239043593,7.575716496,3.57e-14,7.54e-12
"Nnat",178.1838741,-2.676267474,0.356265382,-7.512005392,5.82e-14,1.22e-11
"Cxcl3",29.30663307,7.591432669,1.012343869,7.498867632,6.44e-14,1.33e-11
"Ccn4",4203.097378,-1.460322996,0.194861616,-7.494154199,6.67e-14,1.36e-11
"Acpp",895.7557036,2.280294106,0.304326506,7.492919799,6.74e-14,1.36e-11
"Eddm3b",301.3485003,-1.523837683,0.204682518,-7.44488438,9.7e-14,1.94e-11
"Scg3",284.8946741,-2.736347777,0.36821699,-7.431345784,1.07e-13,2.12e-11
"Dhcr24",1637.857121,1.555168666,0.209422514,7.425986038,1.12e-13,2.19e-11
"Sorcs2",423.1004013,-1.261054718,0.170800795,-7.383189973,1.55e-13,2.99e-11
"Ubd",85.52866627,2.935193539,0.397820309,7.378189282,1.6e-13,3.07e-11
"Gm47015",35.03510945,3.450284644,0.468038623,7.371794709,1.68e-13,3.19e-11
"Jag1",1012.200974,1.007610497,0.137326799,7.337318749,2.18e-13,4.06e-11
"Elmod1",126.7310922,2.794470578,0.380889547,7.336695372,2.19e-13,4.06e-11
"Cd68",623.4339949,1.726723119,0.235400167,7.335267194,2.21e-13,4.06e-11
"Gm46620",1938.818043,2.074281432,0.284701723,7.285805685,3.2e-13,5.81e-11
"Trem2",222.0157415,2.15234811,0.295625779,7.280650958,3.32e-13,5.98e-11
"Sprr2g",25.60700633,6.538069897,0.898551247,7.276234852,3.43e-13,6.12e-11
"Ccl8",177.1777214,2.086366324,0.287711542,7.251590633,4.12e-13,7.27e-11
"Trank1",285.7488832,1.701434458,0.235175203,7.234752794,4.66e-13,8.16e-11
"Gm42427",2153.05852,2.502534133,0.346071278,7.231267918,4.79e-13,8.29e-11
"Psrc1",74.43519238,2.097475249,0.291942947,7.184538176,6.74e-13,1.16e-10
"Hs3st3a1",205.367386,2.144718005,0.298767243,7.178558081,7.05e-13,1.2e-10
"Itgax",772.9279179,1.94283367,0.270848075,7.173149264,7.33e-13,1.23e-10
"Tmem100",803.6617271,2.001434385,0.27945278,7.161977009,7.95e-13,1.33e-10
"Ephb3",379.2407614,1.995851252,0.278865738,7.157032863,8.24e-13,1.36e-10
"Greb1",368.8091279,-2.148100665,0.300665813,-7.144479268,9.03e-13,1.48e-10
"Gm2974",26.8371325,6.106785029,0.857272351,7.123506344,1.05e-12,1.71e-10
"Kcna2",171.2593297,-2.030634868,0.285359077,-7.116068953,1.11e-12,1.79e-10
"Gpr176",44.05435404,2.744782701,0.386584534,7.100084089,1.25e-12,1.99e-10
"AA467197",54.58314745,3.690871316,0.521352764,7.079412586,1.45e-12,2.29e-10
"Ankrd29",115.185866,1.781291707,0.25200373,7.068513258,1.57e-12,2.46e-10
"Epha1",795.3851536,1.544394801,0.219104505,7.048667487,1.81e-12,2.8e-10
"4930481A15Rik",69.59188185,-3.260059069,0.46255281,-7.047971597,1.82e-12,2.8e-10
"Tgfbi",2968.58144,2.10998003,0.299722188,7.0397859,1.93e-12,2.95e-10
"4930452B06Rik",169.6546435,-1.710617032,0.243168237,-7.0347059,2e-12,3.03e-10
"Ctsb",23401.29185,1.145081822,0.162901468,7.02929099,2.08e-12,3.12e-10
"Cp",4280.428955,1.208888751,0.172226321,7.019186995,2.23e-12,3.33e-10
